Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2026 Dubai F,W vs Svitolina,73% (8/11),36% (4/11),2/5,1/3,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2026 Dubai R16,W vs Jovic,90% (9/10),38% (3/8),2/2,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2026 Australian Open SF,L vs Rybakina,67% (6/9),75% (3/4),0/2,0/0,60% (6/10),4/6,3/4,50% (4/8),38% (3/8)
2026 Australian Open QF,W vs Anisimova,67% (8/12),36% (4/11),2/3,1/1,50% (2/4),0/0,0/0,100% (4/4),75% (3/4)
2026 Brisbane SF,L vs Kostyuk,100% (3/3),0% (0/2),0/0,0/0,33% (2/6),2/4,0/1,- (0/0),- (0/0)
2025 Riyadh Finals SF,L vs Rybakina,39% (9/23),50% (4/8),1/1,0/0,55% (6/11),1/3,0/1,- (0/0),- (0/0)
2025 Riyadh Finals RR,L vs Sabalenka,69% (9/13),50% (4/8),1/2,0/0,75% (12/16),4/6,0/1,- (0/0),- (0/0)
2025 Riyadh Finals RR,W vs Gauff,56% (9/16),50% (9/18),2/5,1/2,38% (3/8),1/2,0/0,60% (3/5),17% (1/6)
2025 Riyadh Finals RR,W vs Paolini,80% (8/10),44% (4/9),2/4,1/2,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2025 Wuhan F,L vs Gauff,63% (5/8),44% (4/9),0/0,0/0,25% (2/8),1/3,0/1,- (0/0),- (0/0)
2025 Wuhan SF,W vs Sabalenka,54% (7/13),58% (7/12),2/5,1/4,53% (9/17),2/3,0/0,75% (3/4),80% (4/5)
2025 Wuhan QF,W vs Siniakova,75% (9/12),83% (5/6),2/2,1/1,71% (5/7),0/1,0/0,- (0/0),- (0/0)
2025 Wuhan R16,W vs Alexandrova,67% (12/18),50% (4/8),2/2,1/1,63% (5/8),0/1,0/0,- (0/0),- (0/0)
2025 Beijing SF,L vs Noskova,40% (10/25),33% (5/15),1/5,0/3,64% (7/11),2/4,1/2,29% (2/7),57% (4/7)
2025 BJK Cup Finals RR,L vs Rybakina,40% (4/10),25% (1/4),0/0,0/0,43% (3/7),1/3,0/1,- (0/0),- (0/0)
2025 BJK Cup Finals RR,L vs Paolini,67% (4/6),29% (2/7),0/0,0/0,17% (1/6),3/5,3/4,- (0/0),- (0/0)
2025 US Open SF,L vs Sabalenka,85% (11/13),29% (2/7),1/1,0/0,57% (4/7),4/6,2/3,- (0/0),- (0/0)
2025 US Open QF,W vs Krejcikova,50% (7/14),56% (5/9),2/2,1/1,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2025 Cincinnati R32,L vs Linette,77% (10/13),56% (5/9),1/3,0/0,62% (8/13),1/3,0/1,50% (3/6),33% (2/6)
2025 Wimbledon R128,L vs Cocciaretto,71% (5/7),- (0/0),0/0,0/0,33% (2/6),1/3,0/1,- (0/0),- (0/0)
2026 (5 matches),,75.6%,38.9%,50.0%,60.0%,54.2%,60.0%,60.0%,66.7%,50.0%
2025 (32 matches),,57.3%,46.4%,56.6%,58.1%,58.0%,50.7%,39.1%,54.8%,43.2%
2024 (29 matches),,56.3%,44.9%,49.4%,47.1%,52.3%,49.2%,53.6%,53.4%,52.6%
2023 (36 matches),,60.6%,48.5%,49.5%,49.0%,51.6%,54.7%,47.8%,53.8%,39.2%
2022 (22 matches),,58.3%,49.2%,61.5%,76.9%,55.2%,46.9%,50.0%,57.5%,39.0%
Career (266 matches),,57.3%,46.4%,51.7%,52.6%,55.3%,50.9%,51.4%,53.0%,49.0%
