Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
12,Aryna Sabalenka [BLR],3,9,25.0%,1,1,0,100.0%,2020,2025,12,0.87,3.9%,4.9%,62.9%,59.1%,43.6%,53.4%,40.6%,55.3%,43.8%
12,Maria Sakkari [GRE],7,5,58.3%,4,1,3,25.0%,2019,2025,12,1.08,4.3%,3.7%,61.7%,63.6%,45.9%,56.8%,46.5%,61.2%,51.4%
11,Iga Swiatek [POL],5,6,45.5%,2,0,2,0.0%,2019,2025,11,0.91,2.8%,3.6%,58.0%,62.4%,39.1%,52.6%,43.4%,51.0%,53.8%
11,Camila Giorgi [ITA],9,2,81.8%,1,1,0,100.0%,2011,2023,7,1.35,6.3%,5.8%,58.4%,74.9%,50.9%,64.9%,47.4%,53.6%,41.6%
9,Elena Rybakina [KAZ],3,6,33.3%,4,1,3,25.0%,2022,2026,8,0.98,3.5%,2.9%,59.4%,67.0%,47.5%,59.1%,40.0%,59.7%,44.8%
9,Elina Svitolina [UKR],6,3,66.7%,1,1,0,100.0%,2021,2026,9,1.12,4.3%,2.4%,64.0%,69.1%,51.2%,62.7%,41.8%,58.2%,35.5%
8,Coco Gauff [USA],5,3,62.5%,2,1,1,50.0%,2022,2025,8,1.08,2.6%,2.7%,62.0%,64.3%,45.2%,57.0%,46.3%,45.6%,53.6%
8,Maria Sanchez [USA],4,4,50.0%,0,0,0,-,2012,2017,1,0.78,0.0%,0.0%,56.3%,58.3%,35.7%,48.4%,40.0%,54.5%,40.0%
7,Liudmila Samsonova [RUS],5,2,71.4%,3,2,1,66.7%,2020,2026,7,1.19,4.5%,4.7%,57.5%,70.2%,55.1%,63.8%,43.1%,63.6%,43.1%
7,Jasmine Paolini [ITA],6,1,85.7%,1,1,0,100.0%,2016,2025,5,1.65,4.8%,3.9%,59.6%,71.5%,61.3%,67.4%,53.8%,63.6%,57.4%
7,Victoria Azarenka [BLR],4,3,57.1%,2,2,0,100.0%,2021,2025,7,0.99,4.8%,2.3%,62.0%,61.3%,49.0%,56.6%,42.9%,53.6%,38.2%
6,Jelena Ostapenko [LAT],4,2,66.7%,1,0,1,0.0%,2015,2026,4,1.07,6.1%,3.1%,58.8%,64.7%,52.1%,59.5%,43.3%,50.0%,51.6%
6,Marta Kostyuk [UKR],4,2,66.7%,3,0,3,0.0%,2022,2026,6,1.19,1.1%,3.8%,59.8%,64.9%,54.4%,60.6%,46.7%,59.5%,42.9%
6,Katerina Siniakova [CZE],5,1,83.3%,1,1,0,100.0%,2019,2025,6,1.25,3.4%,3.4%,61.8%,71.4%,52.4%,64.1%,45.0%,51.6%,48.1%
6,Ekaterina Alexandrova [RUS],3,3,50.0%,0,0,0,-,2021,2025,6,0.97,2.3%,2.5%,61.7%,59.1%,48.9%,55.2%,43.2%,61.6%,45.5%
