Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,28,24,4,85.7%,48-18,72.7%,350-250,58.3%,4-2,66.7%,28,79.8%,37.8%,7.0%,2.3%,63.2%,70.8%,52.0%,63.9%,45.2%,54.0%,1.25,W (2x)
2025,76,53,23,69.7%,117-64,64.6%,939-748,55.7%,9-11,45.0%,73,74.3%,38.8%,3.7%,3.2%,61.9%,67.5%,50.2%,60.9%,45.1%,52.9%,1.15,W (3x)
2024,56,39,17,69.6%,84-46,64.6%,693-580,54.4%,12-8,60.0%,55,72.0%,37.0%,4.1%,3.1%,61.4%,67.1%,48.6%,59.9%,45.0%,52.3%,1.12,W (2x)
2023,77,59,18,76.6%,123-53,69.9%,927-655,58.6%,6-8,42.9%,74,72.5%,44.3%,3.6%,3.7%,58.4%,66.3%,51.0%,59.9%,47.3%,53.5%,1.18,W (3x)
2022,63,42,21,66.7%,87-52,62.6%,722-592,54.9%,7-8,46.7%,63,72.6%,37.5%,3.8%,4.6%,57.9%,67.1%,49.4%,59.6%,45.0%,52.2%,1.11,W (Guadalajara 2)
2021,55,36,19,65.5%,80-45,64.0%,637-502,55.9%,3-2,60.0%,52,71.6%,42.2%,4.0%,4.3%,59.6%,66.1%,49.6%,59.4%,46.1%,52.8%,1.14,SF (2x)
2020,16,10,6,62.5%,19-17,52.8%,174-162,51.8%,3-2,60.0%,16,67.8%,36.3%,3.3%,3.0%,62.2%,62.8%,48.1%,57.2%,44.4%,50.8%,1.04,F (Auckland)
2019,22,9,13,40.9%,21-30,41.2%,221-246,47.3%,2-2,50.0%,22,61.1%,33.2%,2.9%,3.7%,60.4%,60.6%,46.9%,55.1%,43.2%,49.3%,0.96,W (Washington)
2018,5,4,1,80.0%,8-3,72.7%,62-52,54.4%,2-0,100.0%,5,75.4%,30.9%,5.7%,3.6%,60.6%,70.1%,43.4%,59.6%,43.5%,51.6%,1.08,F (Quebec City)
2017,1,0,1,0.0%,1-2,33.3%,10-16,38.5%,0-0,-,1,69.2%,7.7%,6.8%,6.8%,53.4%,70.2%,46.3%,59.1%,33.7%,46.6%,0.82,R32 (Quebec City)
2016,8,5,3,62.5%,10-7,58.8%,83-79,51.2%,2-1,66.7%,8,68.8%,32.9%,3.0%,3.1%,58.0%,64.4%,47.9%,57.5%,42.1%,50.1%,0.99,SF (Washington)
2015,6,2,4,33.3%,7-9,43.8%,80-90,47.1%,2-3,40.0%,3,64.0%,26.9%,2.2%,4.8%,63.4%,68.8%,45.8%,60.4%,39.7%,49.5%,1.00,R16 (Quebec City)
2013,6,2,4,33.3%,5-9,35.7%,63-77,45.0%,1-1,50.0%,5,-,-,0.7%,3.9%,59.4%,57.6%,47.5%,53.5%,42.4%,48.3%,0.91,R16 (Charleston)
2012,2,0,2,0.0%,1-4,20.0%,22-30,42.3%,0-0,-,2,-,-,3.8%,3.2%,58.6%,59.6%,57.1%,58.6%,34.9%,47.1%,0.84,R32 (Quebec City)
Career,421,285,136,67.7%,611-359,63.0%,4983-4079,55.0%,53-48,52.5%,407,72.3%,38.9%,3.9%,3.6%,60.2%,66.4%,49.6%,59.7%,45.2%,52.4%,1.12,
