Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),435,107,335,1438,317,1398,258,1440,,,,,,
2025,481,91,,,,,,,,,,,,
2024,441,98,279,1474,279,1421,,,,,2213,3,,
2023,239,261,242,1508,249,1445,204,1486,160,1486,,,,
2022,204,269,291,1450,272,1413,254,1438,,,,,,
2021,483,75,,,,,,,,,,,,
2020,375,108,,,,,,,,,937,28,,
2019,347,111,,,,,,,,,830,34,,
2017,500,70,,,,,,,,,858,41,,
2016,299,162,,,,,,,,,1163,18,,
2015,589,55,,,,,,,,,1274,17,,
2014,260,191,256,1464,258,1400,242,1419,,,389,155,,
2013,455,82,,,,,,,,,1138,18,,
2012,1110,6,,,,,,,,,1105,16,,
2011,1409,2,,,,,,,,,,,,
