Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2022 Australian Open F,W vs Collins,47.8%,52.2%,37.5%,64.9%,70.3%,53.8%,27.8%,63.2%,-,29.6%,33.3%,26.3%,25.0%,52.6%,50.0%,17
2022 Australian Open SF,W vs Keys,47.8%,58.7%,58.3%,50.0%,64.3%,71.4%,30.8%,40.0%,50.0%,44.4%,50.0%,40.0%,22.2%,66.7%,-,-104
2022 Australian Open QF,W vs Pegula,37.8%,48.9%,57.7%,48.1%,63.0%,64.3%,46.2%,28.6%,-,25.0%,31.3%,50.0%,12.5%,75.0%,0.0%,30
2022 Australian Open R16,W vs Anisimova,38.9%,48.1%,53.3%,38.9%,52.8%,63.6%,44.4%,44.4%,0.0%,46.7%,46.7%,25.0%,16.7%,77.8%,66.7%,97
2022 Australian Open R32,W vs Giorgi,52.1%,58.3%,61.9%,66.7%,77.8%,77.8%,25.0%,26.7%,50.0%,36.8%,36.8%,50.0%,9.1%,50.0%,100.0%,11
2022 Australian Open R64,W vs Bronzetti,44.2%,55.8%,54.5%,63.6%,72.7%,62.5%,40.0%,66.7%,-,26.3%,42.1%,50.0%,0.0%,54.5%,-,11
2022 Australian Open R128,W vs Tsurenko,26.7%,40.0%,57.6%,40.7%,59.3%,56.3%,30.0%,41.2%,100.0%,5.6%,11.1%,58.8%,20.0%,75.0%,0.0%,-104
2022 Adelaide F,W vs Rybakina,36.5%,50.0%,64.5%,46.4%,57.1%,53.3%,44.4%,57.9%,0.0%,27.3%,45.5%,75.0%,14.3%,75.0%,-,-3
2022 Adelaide SF,W vs Swiatek,37.5%,48.2%,58.8%,44.7%,57.9%,57.1%,50.0%,36.4%,0.0%,23.5%,29.4%,61.5%,18.2%,33.3%,-,-37
2022 Adelaide QF,W vs Kenin,58.3%,68.8%,66.7%,78.1%,90.6%,85.7%,43.8%,25.0%,-,21.4%,28.6%,54.5%,20.0%,66.7%,-,47
2021 US Open R32,L vs Rogers,24.2%,37.4%,57.4%,34.6%,51.9%,61.8%,45.0%,43.8%,0.0%,12.9%,22.6%,51.9%,7.1%,29.4%,50.0%,-1
2021 Cincinnati F,W vs Teichmann,37.2%,51.2%,56.0%,57.1%,81.0%,66.7%,44.4%,50.0%,-,20.0%,25.0%,50.0%,40.0%,50.0%,100.0%,6
2021 Cincinnati R16,W vs Azarenka,29.4%,52.9%,56.3%,38.7%,71.0%,78.9%,46.2%,38.9%,0.0%,18.8%,31.3%,23.1%,57.1%,66.7%,100.0%,54
2021 Wimbledon F,W vs Pliskova,23.6%,29.2%,55.7%,31.5%,40.7%,51.4%,30.4%,22.6%,0.0%,14.3%,14.3%,62.5%,7.1%,71.4%,-,13
2021 Wimbledon SF,W vs Kerber,27.0%,43.2%,62.0%,35.7%,61.9%,81.5%,59.1%,30.0%,0.0%,17.9%,21.4%,39.1%,50.0%,45.0%,100.0%,47
2021 Wimbledon QF,W vs Tomljanovic,34.8%,39.1%,50.0%,42.3%,50.0%,46.7%,41.7%,21.4%,0.0%,31.3%,31.3%,54.5%,22.2%,42.9%,0.0%,137
2021 Wimbledon R16,W vs Krejcikova,32.5%,44.2%,48.9%,46.3%,61.0%,59.1%,33.3%,30.4%,33.3%,19.4%,29.0%,40.0%,12.5%,53.3%,50.0%,64
2021 Wimbledon R128,W vs Suarez Navarro,38.1%,52.4%,57.1%,48.2%,69.6%,75.9%,39.3%,35.7%,25.0%,20.0%,20.0%,30.0%,0.0%,42.1%,-,25
2021 Madrid F,L vs Sabalenka,23.9%,38.0%,44.2%,24.5%,36.7%,48.6%,34.8%,42.3%,50.0%,25.0%,45.0%,33.3%,28.6%,61.5%,100.0%,6
2021 Madrid QF,W vs Kvitova,35.7%,39.3%,43.4%,34.6%,38.5%,44.1%,37.0%,40.0%,33.3%,38.7%,41.9%,42.1%,16.7%,31.6%,33.3%,-66
Career (125 matches),,28.9%,39.0%,51.2%,37.1%,50.4%,55.7%,44.1%,39.7%,31.3%,18.6%,24.3%,45.5%,20.5%,51.2%,61.8%,16
