Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,32,24,8,75.0%,6,3,3,50.0%,2012,2022,W,31,1.26,9.8%,3.3%,59.6%,73.3%,50.1%,63.9%,45.4%,61.0%,48.8%
Roland Garros,7,Clay,16,10,6,62.5%,1,0,1,0.0%,2012,2021,W,15,1.09,5.9%,4.8%,58.1%,67.5%,49.7%,60.1%,43.5%,53.8%,50.0%
Wimbledon,7,Grass,19,13,6,68.4%,5,2,3,40.0%,2012,2021,W,16,1.21,10.0%,5.6%,58.4%,74.7%,47.8%,63.5%,44.2%,57.0%,47.7%
US Open,7,Hard,20,13,7,65.0%,5,4,1,80.0%,2011,2021,R16,17,1.23,9.9%,5.8%,56.7%,74.6%,48.2%,63.2%,45.5%,53.9%,38.4%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2021,2021,R64,0,,,,,,,,,,
Fed Cup,4,,13,11,2,84.6%,3,2,1,66.7%,2013,2019,,12,1.28,10.5%,3.9%,60.7%,70.7%,44.9%,60.5%,50.7%,67.8%,52.2%
Birmingham,5,Grass,14,10,4,71.4%,3,1,2,33.3%,2013,2019,W,14,1.16,7.3%,3.8%,62.0%,75.0%,49.9%,65.5%,40.2%,64.3%,44.4%
Brisbane,5,Hard,10,5,5,50.0%,2,0,2,0.0%,2012,2020,R16,9,1.04,6.8%,5.0%,59.4%,69.9%,48.6%,61.2%,40.1%,61.5%,46.8%
Miami,4,Hard,17,15,2,88.2%,4,3,1,75.0%,2017,2021,W,17,1.26,8.7%,5.0%,54.3%,73.8%,51.7%,63.7%,45.9%,61.2%,45.2%
Cincinnati,4,Hard,17,14,3,82.4%,1,1,0,100.0%,2017,2021,W,17,1.22,9.6%,4.7%,57.3%,73.9%,49.0%,63.3%,45.0%,56.0%,46.3%
Rome,4,Clay,8,4,4,50.0%,0,0,0,-,2017,2021,QF,8,1.06,8.2%,5.2%,61.3%,67.9%,45.5%,59.2%,43.4%,64.9%,42.9%
Wuhan,3,Hard,15,12,3,80.0%,7,5,2,71.4%,2017,2019,F,15,1.14,7.3%,4.8%,58.6%,71.0%,48.1%,61.5%,43.9%,58.1%,50.4%
