Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2023 W60 Trnava R16,L vs Zidansek,88% (7/8),0% (0/3),0/0,0/0,50% (2/4),0/2,0/1,- (0/0),- (0/0)
2021 W25 Potchefstroom SF,L vs Parrizas Diaz,50% (3/6),75% (6/8),0/0,0/0,43% (6/14),4/6,3/4,33% (2/6),40% (2/5)
2019 W60 Brescia QF,L vs Paolini,78% (7/9),71% (5/7),1/2,0/0,45% (5/11),5/7,4/5,- (0/0),- (0/0)
2019 W60 Wiesbaden R16,L vs Rus,58% (7/12),56% (5/9),1/1,0/0,50% (7/14),0/2,0/1,- (0/0),- (0/0)
2019 W60 Wiesbaden R32,W vs Podoroska,70% (7/10),83% (5/6),2/4,1/3,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2019 W25 Chiasso QF,L vs Kostyuk,67% (6/9),40% (8/20),1/2,0/0,29% (4/14),7/9,1/2,50% (7/14),50% (7/14)
2019 W25 Santa Margherita Di Pula SF,L vs Rus,67% (6/9),67% (6/9),1/3,0/1,46% (6/13),0/2,0/1,- (0/0),- (0/0)
2019 W25 Santa Margherita Di Pula QF,W vs Grymalska,73% (8/11),50% (5/10),2/2,1/1,64% (7/11),0/1,0/0,- (0/0),- (0/0)
2019 W25 Santa Margherita Di Pula R16,W vs Bandecchi,38% (6/16),55% (6/11),2/5,1/2,67% (6/9),0/0,0/0,- (0/0),- (0/0)
2019 W25 Santa Margherita Di Pula R32,W vs Ivaldi,45% (5/11),64% (7/11),2/3,1/2,89% (8/9),0/0,0/0,- (0/0),- (0/0)
2019 W25 Santa Margherita Di Pula QF,L vs Teichmann,10% (1/10),- (0/0),0/0,0/0,38% (3/8),0/2,0/1,- (0/0),- (0/0)
2019 W25 Santa Margherita Di Pula R16,W vs Lopatetskaya,37% (7/19),36% (8/22),2/5,1/1,63% (12/19),8/9,0/0,- (0/0),- (0/0)
2019 W60 Shrewsbury R16,L vs Lumsden,60% (6/10),20% (1/5),0/0,0/0,63% (5/8),3/5,1/2,- (0/0),- (0/0)
2019 W25 Trnava R32,L vs Stefkova,58% (11/19),57% (4/7),1/1,0/0,62% (8/13),0/2,0/1,- (0/0),- (0/0)
2018 Gstaad R32,L vs Schnyder,56% (9/16),50% (2/4),1/4,0/0,56% (5/9),1/3,0/1,- (0/0),- (0/0)
2018 Lugano R16,L vs Korpatsch,100% (5/5),50% (5/10),0/0,0/0,40% (4/10),5/7,1/2,25% (1/4),20% (1/5)
2018 Australian Open Q1,L vs Broady,61% (14/23),29% (2/7),1/3,0/0,50% (3/6),1/3,1/2,50% (3/6),20% (1/5)
2017 Zawada Near Opole $25K SF,L vs Chiesa,60% (6/10),50% (1/2),0/0,0/0,0% (0/3),5/7,5/6,- (0/0),- (0/0)
2017 Zawada Near Opole $25K R16,W vs Oczachowska,90% (9/10),38% (3/8),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2017 Shrewsbury $25K SF,L vs Friedsam,44% (7/16),50% (6/12),1/1,0/0,42% (5/12),1/3,0/1,- (0/0),- (0/0)
2023 (1 matches),,87.5%,0.0%,-,-,50.0%,0.0%,0.0%,-,-
2021 (1 matches),,50.0%,75.0%,-,-,42.9%,66.7%,75.0%,33.3%,40.0%
2019 (12 matches),,53.1%,51.3%,53.6%,50.0%,55.3%,59.0%,46.2%,50.0%,50.0%
2018 (3 matches),,63.6%,42.9%,28.6%,-,48.0%,53.8%,40.0%,40.0%,20.0%
2017 (57 matches),,58.1%,49.7%,59.7%,56.5%,50.9%,50.4%,55.1%,52.5%,54.5%
Career (152 matches),,59.1%,50.3%,56.7%,53.8%,53.0%,52.8%,53.2%,51.1%,49.1%
