Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,1,0,1,0.0%,1-3,25.0%,10-22,31.3%,0-0,-,1,56.3%,6.3%,9.8%,5.4%,64.1%,55.9%,42.4%,51.1%,24.7%,38.4%,0.51
Clay,12,4,8,33.3%,11-19,36.7%,135-167,44.7%,3-2,60.0%,12,74.5%,14.2%,6.7%,2.9%,59.6%,67.1%,50.5%,60.4%,31.3%,46.7%,0.79
Grass,5,1,4,20.0%,3-9,25.0%,57-68,45.6%,0-3,0.0%,5,85.2%,8.2%,13.4%,5.7%,60.4%,74.7%,47.0%,63.7%,28.6%,46.8%,0.79
Grand Slams,2,0,2,0.0%,2-6,25.0%,29-48,37.7%,1-1,50.0%,2,64.9%,10.5%,8.1%,6.2%,61.4%,59.7%,47.0%,54.8%,27.5%,42.3%,0.61
Other Tours,16,5,11,31.3%,13-25,34.2%,173-209,45.3%,2-4,33.3%,16,78.3%,12.3%,8.9%,3.4%,59.8%,70.3%,49.5%,62.0%,30.6%,47.0%,0.80
Best of 5,2,0,2,0.0%,2-6,25.0%,29-48,37.7%,1-1,50.0%,2,64.9%,10.5%,8.1%,6.2%,61.4%,59.7%,47.0%,54.8%,27.5%,42.3%,0.61
Best of 3,16,5,11,31.3%,13-25,34.2%,173-209,45.3%,2-4,33.3%,16,78.3%,12.3%,8.9%,3.4%,59.8%,70.3%,49.5%,62.0%,30.6%,47.0%,0.80
vs Righties,16,5,11,31.3%,14-27,34.1%,186-228,44.9%,3-4,42.9%,16,77.5%,12.3%,9.2%,4.2%,59.6%,68.9%,50.0%,61.2%,30.0%,46.5%,0.77
vs Lefties,2,0,2,0.0%,1-4,20.0%,16-29,35.6%,0-1,0.0%,2,63.6%,9.1%,4.3%,0.7%,65.0%,64.8%,38.8%,55.7%,31.3%,43.8%,0.71
vs Top 10,1,0,1,0.0%,0-2,0.0%,9-13,40.9%,0-0,-,1,72.7%,9.1%,6.0%,4.5%,61.2%,68.3%,46.2%,59.7%,26.3%,44.4%,0.65
