Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2019 Hamburg R16,L vs Fognini,62% (8/13),50% (1/2),0/1,0/0,40% (2/5),0/2,0/1,- (0/0),- (0/0)
2019 Halle R32,L vs Stakhovsky,57% (13/23),17% (1/6),1/4,0/1,88% (14/16),7/9,2/3,71% (5/7),14% (1/7)
2019 Lyon  CH R16,L vs Guinard,65% (11/17),67% (4/6),1/1,0/0,29% (2/7),0/2,0/1,- (0/0),- (0/0)
2019 Lyon  CH R32,W vs Cornut Chauvinc,86% (6/7),86% (6/7),2/2,1/1,50% (2/4),0/0,0/0,- (0/0),- (0/0)
2019 Roland Garros R128,L vs Bublik,54% (15/28),38% (3/8),1/4,0/0,65% (11/17),3/6,2/3,50% (5/10),40% (4/10)
2019 Aix En Provence CH R16,L vs Cuevas,50% (4/8),- (0/0),0/0,0/0,67% (8/12),1/3,1/2,- (0/0),- (0/0)
2019 Aix En Provence CH R32,W vs Martineau,75% (15/20),67% (4/6),2/3,1/2,88% (7/8),0/1,0/0,40% (2/5),20% (1/5)
2019 Munich R16,L vs Bautista Agut,63% (5/8),33% (1/3),0/0,0/0,73% (11/15),0/2,0/1,- (0/0),- (0/0)
2019 Munich R32,W vs Copil,70% (14/20),20% (2/10),2/5,1/2,0% (0/2),0/1,0/0,83% (5/6),33% (2/6)
2019 Francavilla Al Mare CH QF,L vs Otte,67% (8/12),0% (0/4),0/0,0/0,75% (6/8),5/7,5/6,- (0/0),- (0/0)
2019 Francavilla Al Mare CH R16,W vs Moroni,69% (9/13),67% (6/9),2/4,1/1,67% (4/6),1/2,0/0,- (0/0),- (0/0)
2019 Francavilla Al Mare CH R32,W vs Ocleppo,72% (13/18),67% (2/3),2/4,1/2,67% (2/3),0/1,0/0,- (0/0),- (0/0)
2019 Murcia CH QF,L vs Ymer,22% (2/9),75% (3/4),0/0,0/0,56% (9/16),5/7,0/1,- (0/0),- (0/0)
2019 Murcia CH R16,W vs Alcaraz,74% (14/19),44% (4/9),2/4,1/1,75% (3/4),1/2,0/0,50% (3/6),33% (2/6)
2019 Murcia CH R32,W vs Robredo,53% (10/19),35% (6/17),2/4,1/2,56% (5/9),0/1,0/0,- (0/0),- (0/0)
2019 Sophia Antipolis CH SF,L vs Brown,86% (12/14),0% (0/1),1/1,0/0,50% (3/6),2/4,1/2,100% (4/4),75% (3/4)
2019 Sophia Antipolis CH QF,W vs Bolelli,71% (12/17),60% (3/5),2/2,1/1,82% (9/11),0/1,0/0,- (0/0),- (0/0)
2019 Sophia Antipolis CH R16,W vs Kwiatkowski,88% (15/17),30% (3/10),2/2,1/1,100% (2/2),0/1,0/0,50% (3/6),33% (2/6)
2019 Sophia Antipolis CH R32,W vs Miedler,53% (8/15),33% (4/12),2/2,1/1,25% (1/4),0/0,0/0,80% (4/5),60% (3/5)
2019 Marbella CH R32,L vs Vilella Martinez,75% (6/8),- (0/0),0/0,0/0,0% (0/3),1/3,1/2,- (0/0),- (0/0)
2019 (27 matches),,64.0%,41.8%,54.2%,66.7%,62.5%,39.7%,43.3%,63.9%,35.9%
2018 (15 matches),,61.6%,38.8%,65.4%,100.0%,61.2%,12.5%,11.1%,54.5%,50.0%
2017 (5 matches),,56.2%,33.3%,80.0%,66.7%,58.3%,20.0%,0.0%,100.0%,50.0%
Career (47 matches),,62.4%,40.1%,59.5%,76.0%,61.7%,31.8%,33.3%,64.9%,38.8%
