Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),425,108,401,1369,379,1332,327,1364,,,,,,
2025,397,121,399,1363,392,1320,330,1361,,,,,,
2024,268,200,318,1427,338,1357,271,1419,237,1381,1017,32,,
2023,201,302,265,1480,363,1300,219,1468,228,1381,,,,
2022,333,150,403,1278,396,1217,375,1269,,,,,,
2021,379,112,360,1295,349,1238,340,1287,249,1304,,,,
2020,217,273,,,,,,,,,576,67,,
2019,164,308,246,1499,338,1354,186,1498,198,1426,552,67,,
2018,207,246,247,1482,341,1296,170,1511,199,1427,,,,
2017,566,52,,,,,,,,,1162,18,,
2016,1060,9,,,,,,,,,,,,
