Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 Guangzhou F,L vs Li,3.9%,33.3%,8.5%,57.1%,16.4%,28.6%,0.0%,6.7%,0.0%,0.5%,0.0%,94,108
2025 Guangzhou QF,W vs Mcnally,0.0%,-,5.6%,80.0%,25.8%,33.3%,16.7%,11.4%,35.7%,0.0%,-,97,127
2025 Guangzhou R16,W vs Wang,0.0%,-,2.2%,100.0%,34.0%,53.3%,0.0%,11.1%,20.0%,0.8%,0.0%,127,112
2025 Montreal R64,L vs Anisimova,0.0%,-,1.4%,100.0%,9.3%,28.6%,11.1%,0.0%,0.0%,0.0%,-,-86,-26
2025 s Hertogenbosch R16,L vs Andreescu,0.0%,-,8.2%,37.5%,16.3%,27.3%,0.0%,0.0%,0.0%,0.0%,-,48,52
2025 s Hertogenbosch R32,W vs Vrancken Peeters,2.0%,100.0%,8.5%,55.6%,22.5%,5.9%,25.0%,8.7%,0.0%,3.2%,20.0%,106,120
2025 Doha R64,L vs Samsonova,0.0%,-,0.0%,0.0%,17.3%,42.9%,0.0%,2.7%,0.0%,0.0%,-,-66,-15
2024 Monterrey F,L vs Noskova,1.4%,100.0%,5.5%,77.8%,20.7%,43.8%,25.0%,13.6%,37.5%,2.1%,0.0%,97,116
2024 Monterrey QF,W vs Andreeva,2.5%,100.0%,7.5%,62.5%,23.9%,46.7%,16.7%,11.1%,14.3%,0.0%,-,-26,8
2024 Cincinnati R32,L vs Kostyuk,0.0%,-,4.7%,57.1%,28.1%,45.0%,33.3%,12.9%,33.3%,2.0%,33.3%,156,126
2024 Cincinnati R64,W vs Noskova,0.0%,-,6.8%,60.0%,24.6%,35.7%,60.0%,12.0%,100.0%,1.5%,0.0%,104,107
2024 Wimbledon QF,L vs Vekic,0.0%,-,2.8%,60.0%,16.7%,42.9%,14.3%,4.8%,11.1%,2.3%,50.0%,17,35
2024 Wimbledon R16,W vs Raducanu,1.0%,0.0%,15.5%,84.4%,22.3%,25.6%,6.5%,16.3%,18.2%,1.1%,25.0%,102,67
2024 Wimbledon R64,W vs Starodubtseva,10.5%,87.5%,13.5%,96.2%,20.3%,20.7%,12.5%,10.7%,28.6%,0.7%,100.0%,108,80
2024 Wimbledon R128,W vs Zheng,1.3%,100.0%,5.6%,77.8%,23.4%,35.7%,0.0%,21.6%,50.0%,1.2%,0.0%,36,63
2024 Auckland R32,W vs Kessler,0.0%,-,11.9%,76.9%,22.2%,47.8%,16.7%,14.8%,20.0%,0.0%,-,137,95
2022 Rabat R32,L vs Rus,0.0%,-,15.0%,62.5%,14.4%,13.3%,0.0%,1.3%,0.0%,2.3%,33.3%,4,6
Last 52 Weeks (6 matches),,1.2%,50.0%,5.7%,62.2%,21.3%,29.8%,9.7%,7.3%,14.0%,0.7%,14.3%,67,85
Career (17 matches),,1.5%,75.0%,7.4%,73.3%,21.1%,31.9%,11.8%,9.7%,18.5%,1.1%,26.5%,66,71
