Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,47,19,28,40.4%,41-60,40.6%,466-529,46.8%,10-8,55.6%,47,73.2%,20.8%,7.5%,5.2%,57.6%,69.3%,47.2%,59.9%,37.6%,48.7%,0.94
Clay,8,2,6,25.0%,4-14,22.2%,67-95,41.4%,0-2,0.0%,8,64.1%,20.7%,5.9%,2.9%,56.3%,66.0%,44.6%,56.6%,37.3%,46.5%,0.86
Grass,11,6,5,54.5%,13-14,48.1%,124-129,49.0%,2-0,100.0%,11,73.0%,24.0%,5.7%,4.3%,57.5%,67.8%,48.8%,59.8%,38.8%,49.0%,0.96
Grand Slams,13,5,8,38.5%,11-19,36.7%,134-155,46.4%,2-1,66.7%,13,71.6%,21.4%,6.4%,5.2%,56.5%,69.0%,47.3%,59.5%,38.1%,48.5%,0.94
Premiers,12,6,6,50.0%,11-14,44.0%,117-131,47.2%,3-3,50.0%,12,80.8%,13.9%,11.3%,4.6%,60.6%,72.2%,48.9%,63.0%,34.1%,48.7%,0.92
Internationals,20,9,11,45.0%,20-24,45.5%,197-220,47.2%,5-2,71.4%,20,68.0%,26.1%,5.9%,4.7%,57.4%,67.3%,45.9%,58.2%,41.1%,49.2%,0.98
Finals,2,0,2,0.0%,0-4,0.0%,18-26,40.9%,0-2,0.0%,2,76.2%,9.5%,11.4%,5.4%,58.7%,70.4%,43.5%,59.3%,33.8%,46.8%,0.83
Semi-finals,2,2,0,100.0%,4-1,80.0%,30-23,56.6%,2-0,100.0%,2,92.0%,19.2%,13.9%,2.6%,64.9%,74.5%,60.4%,69.5%,40.3%,52.7%,1.32
Quarter-finals,4,2,2,50.0%,5-5,50.0%,50-51,49.5%,0-1,0.0%,4,77.6%,23.5%,12.7%,2.0%,63.0%,70.9%,54.1%,64.7%,36.3%,50.0%,1.03
vs Righties,62,26,36,41.9%,56-82,40.6%,630-712,46.9%,12-9,57.1%,62,72.5%,21.6%,7.0%,4.8%,57.3%,69.0%,47.1%,59.6%,37.9%,48.6%,0.94
vs Lefties,3,0,3,0.0%,0-6,0.0%,15-37,28.8%,0-1,0.0%,3,58.3%,3.7%,9.6%,4.8%,59.6%,60.9%,45.8%,54.8%,30.3%,41.1%,0.67
vs Top 10,6,1,5,16.7%,2-11,15.4%,56-74,43.1%,0-1,0.0%,6,68.3%,19.7%,5.4%,3.8%,56.8%,67.6%,43.7%,57.3%,35.8%,46.8%,0.84
