Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2025 Guangzhou F,L vs Li,3.0,2.8,3.2,51.4%,37.8%,35.7%,0.0%,49.5%,16.1%,0.5,0.6,-5.5,-7.1
2025 Guangzhou QF,W vs Mcnally,3.5,2.9,3.9,54.2%,51.6%,55.6%,50.0%,51.0%,14.1%,16.0,12.5,1.5,1.4
2025 Guangzhou R16,W vs Wang,3.3,3.2,3.4,59.0%,78.9%,28.6%,100.0%,50.4%,11.7%,17.5,28.7,7.5,14.4
2025 Montreal R64,L vs Anisimova,2.7,2.4,3.0,45.5%,40.9%,80.0%,33.3%,56.0%,8.5%,0.0,0.0,2.0,3.8
2025 s Hertogenbosch R16,L vs Andreescu,3.0,3.0,3.0,41.8%,47.1%,9.1%,33.3%,57.5%,20.8%,-5.0,-8.2,-5.0,-13.5
2025 s Hertogenbosch R32,W vs Vrancken Peeters,3.5,3.3,3.6,54.5%,65.4%,70.0%,75.0%,64.5%,18.2%,14.0,14.6,3.5,8.1
2025 Doha R64,L vs Samsonova,3.0,2.6,3.3,44.3%,36.4%,60.0%,60.0%,43.1%,12.2%,3.0,4.8,-2.5,-3.6
2024 Monterrey F,L vs Noskova,3.0,2.7,3.4,49.1%,42.9%,25.0%,66.7%,41.6%,15.3%,8.0,10.5,-5.0,-5.4
2024 Monterrey QF,W vs Andreeva,3.1,2.7,3.5,59.5%,61.9%,50.0%,25.0%,48.8%,7.8%,16.5,27.5,-1.0,-1.7
2024 Cincinnati R32,L vs Kostyuk,2.7,3.0,2.3,46.8%,35.7%,77.8%,0.0%,53.1%,18.8%,9.5,12.7,-1.5,-2.7
2024 Cincinnati R64,W vs Noskova,2.6,2.7,2.4,49.5%,62.5%,33.3%,100.0%,58.5%,19.6%,19.0,26.0,-3.5,-7.8
2024 Wimbledon QF,L vs Vekic,2.7,3.1,2.4,46.3%,39.4%,30.0%,25.0%,49.7%,10.5%,11.0,13.9,-12.0,-15.6
2024 Wimbledon R16,W vs Raducanu,4.2,3.8,4.5,49.1%,60.0%,58.3%,58.8%,52.1%,14.8%,35.0,19.8,2.0,1.4
2024 Wimbledon R64,W vs Starodubtseva,3.8,3.2,4.2,50.0%,62.1%,44.4%,55.6%,58.2%,19.7%,11.5,6.8,5.0,4.9
2024 Wimbledon R128,W vs Zheng,3.0,3.4,2.5,52.6%,64.3%,45.5%,37.5%,60.5%,23.5%,14.5,14.6,9.0,17.3
2024 Auckland R32,W vs Kessler,3.5,3.8,3.3,57.4%,70.8%,50.0%,60.0%,65.0%,16.4%,22.5,22.5,5.0,10.9
2022 Rabat R32,L vs Rus,5.5,4.4,6.1,37.5%,46.4%,37.5%,46.7%,46.2%,14.7%,6.5,5.6,-10.0,-8.3
Last 52 Weeks (6 matches),,3.2,2.9,3.4,50.8%,52.0%,47.1%,53.8%,54.2%,14.7%,7.2,8.5,0.7,1.1
Career (17 matches),,3.3,3.1,3.5,49.9%,53.3%,47.1%,51.0%,53.0%,15.3%,11.8,12.6,-0.6,-0.9
