Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2019 Aix En Provence CH R32,L vs Travaglia,1.00,0.75,52.8,3.6,5.1%,53.8%,2.6%,50.0%,27.8%,45.5%
2019 Aix En Provence CH R64,W vs Clezar,1.26,1.87,33.0,2.0,0.0%,60.9%,0.0%,72.7%,57.6%,40.6%
2019 Santiago CH R16,L vs Bellucci,1.08,0.45,41.5,2.2,0.0%,40.6%,0.0%,56.7%,22.7%,20.0%
2019 Santiago CH R32,W vs Ugo Carabelli,1.26,1.27,55.7,2.1,2.2%,64.4%,9.3%,69.8%,35.9%,30.3%
2019 Rio de Janeiro Q2,L vs Londero,1.01,0.65,51.7,3.4,4.9%,53.7%,7.9%,63.2%,19.4%,35.7%
2019 Rio de Janeiro Q1,W vs Donati,0.96,1.55,49.7,2.2,2.9%,70.6%,6.3%,78.1%,48.7%,34.2%
2019 Buenos Aires R32,L vs Ramos,0.90,0.68,49.0,2.5,2.9%,64.7%,0.0%,47.1%,34.4%,32.3%
2019 Buenos Aires Q2,W vs Norrie,1.00,1.25,63.6,4.1,3.6%,72.7%,13.7%,70.6%,30.4%,41.2%
2019 Buenos Aires Q1,W vs Ruud,0.99,1.22,57.7,8.8,6.7%,71.1%,7.0%,60.5%,39.2%,45.7%
2019 Davis Cup RR,L vs Coppejans,0.86,0.66,44.8,2.1,3.0%,54.5%,6.1%,66.7%,29.4%,31.3%
2019 Punta Del Este CH R16,L vs Arguello,0.77,0.53,42.7,2.3,0.0%,62.1%,3.6%,64.3%,30.0%,20.0%
2019 Punta Del Este CH R32,W vs Gonzalez,0.97,1.30,58.8,3.6,5.3%,65.8%,6.3%,56.3%,54.5%,48.4%
2019 Playford CH F,W vs Moraing,1.20,2.02,39.1,2.1,7.1%,78.6%,4.0%,68.0%,41.7%,47.6%
2019 Playford CH SF,W vs Li,1.06,1.21,62.6,7.2,14.0%,64.0%,4.3%,57.4%,46.2%,43.8%
2019 Playford CH QF,W vs Ruud,1.44,1.83,39.1,2.0,10.0%,66.7%,3.7%,74.1%,32.3%,43.3%
2019 Playford CH R16,W vs Nedovyesov,1.20,1.21,50.9,66.0,3.3%,56.7%,0.0%,61.8%,33.9%,49.1%
2019 Playford CH R32,W vs Doumbia,0.97,1.44,52.1,2.0,5.7%,77.1%,3.1%,62.5%,45.2%,43.6%
2018 Santo Domingo CH R16,L vs Delbonis,1.12,0.69,54.5,3.0,0.0%,45.2%,0.0%,53.3%,42.9%,17.4%
2018 Campinas CH R16,L vs Delbonis,0.84,0.48,37.6,2.1,0.0%,45.8%,0.0%,55.0%,36.0%,20.8%
2018 Szczecin CH R16,W vs Bolelli,1.06,1.76,40.9,2.0,4.2%,79.2%,4.8%,61.9%,53.3%,42.9%
2019 (17 matches),,1.06,1.11,51.3,2.8,4.8%,63.4%,4.9%,63.1%,37.4%,39.6%
2018 (24 matches),,0.97,0.91,50.7,2.9,2.7%,62.4%,3.2%,59.4%,36.6%,36.8%
2017 (35 matches),,1.00,0.99,58.7,3.3,6.3%,61.8%,3.8%,59.3%,40.7%,36.8%
2016 (46 matches),,1.02,1.05,54.1,2.8,3.8%,62.2%,3.4%,60.5%,39.1%,40.2%
2015 (21 matches),,0.98,1.04,55.5,2.6,3.8%,60.3%,2.5%,58.4%,39.6%,46.8%
Career (192 matches),,1.00,0.99,53.7,2.9,4.3%,61.9%,3.3%,59.3%,38.1%,39.5%
