Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2022-07-25),735,24,,,,,,,,,,,,
2020,449,81,,,,,,,,,713,48,,
2019,236,200,196,1546,160,1543,157,1526,223,1394,162,438,,
2018,159,332,157,1595,153,1549,126,1580,,,315,120,,
2018,159,332,157,1595,153,1549,126,1580,,,315,120,,
2017,101,571,142,1613,152,1546,103,1619,198,1410,90,999,82,1586
2016,98,613,127,1635,149,1556,103,1631,185,1439,166,451,,
2015,125,473,112,1654,,,90,1646,,,351,189,,
2014,283,175,191,1544,160,1533,160,1529,195,1403,471,122,,
2013,132,432,154,1599,132,1573,132,1579,192,1408,358,174,,
2012,126,452,163,1584,157,1534,135,1567,198,1422,157,450,,
2011,124,471,209,1513,172,1513,193,1486,216,1401,230,283,,
2010,158,336,192,1537,205,1463,158,1525,,,193,372,,
2009,317,132,304,1395,264,1383,277,1379,228,1373,216,309,,
2008,244,156,273,1441,268,1383,243,1424,,,267,208,,
2007,306,120,275,1429,274,1376,241,1408,189,1418,503,85,,
2006,263,152,267,1418,273,1346,240,1413,,,251,220,,
2005,614,32,,,,,,,,,675,46,,
2004,758,17,,,,,,,,,622,53,,
2003,896,9,,,,,,,,,1517,4,,
2002,1331,1,,,,,,,,,1536,1,,
