Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2019 Wimbledon R128,W vs Pattinama Kerkhove,40% (6/15),67% (4/6),2/3,38% (6/16),33% (2/6),4/4,1/1,1/3,1/1,0/0
2019 Nottingham R16,L vs Sakkari,33% (3/9),33% (1/3),0/4,56% (5/9),20% (1/5),0/1,0/0,0/0,0/0,0/0
2019 Madrid Q1,L vs Mladenovic,55% (6/11),67% (4/6),1/6,73% (8/11),25% (2/8),1/4,0/1,0/0,0/0,0/0
2019 Rabat R16,L vs Mertens,38% (3/8),67% (2/3),2/6,75% (6/8),0% (0/6),0/2,0/0,1/1,0/0,0/0
2019 Rabat R32,W vs Linette,63% (5/8),80% (4/5),1/1,11% (1/9),0% (0/1),4/4,2/2,0/0,1/1,0/0
2019 Istanbul R32,L vs Babos,60% (6/10),50% (3/6),3/5,70% (7/10),29% (2/7),1/3,0/0,1/1,0/0,0/0
2019 Istanbul Q2,W vs Sizikova,71% (5/7),100% (5/5),0/1,25% (2/8),50% (1/2),4/5,2/2,0/0,1/1,0/0
2019 Istanbul Q1,W vs Soylu,83% (10/12),80% (8/10),3/5,58% (7/12),29% (2/7),4/7,1/1,0/0,0/0,0/0
2019 Monterrey R16,L vs Pavlyuchenkova,17% (1/6),0% (0/1),0/6,100% (6/6),0% (0/6),0/0,0/0,0/0,0/0,0/0
2019 Monterrey R32,W vs Babos,38% (5/13),100% (5/5),3/5,50% (7/14),29% (2/7),3/4,1/1,1/1,1/1,0/0
2019 W25 Osaka F,W vs Lu,50% (7/14),100% (7/7),3/4,47% (7/15),29% (2/7),4/7,2/2,1/2,1/1,0/0
2019 W25 Osaka SF,W vs Zhang,64% (9/14),89% (8/9),4/7,53% (8/15),13% (1/8),3/8,2/2,0/0,1/1,0/0
2019 W25 Osaka QF,W vs Tere Apisah,69% (9/13),78% (7/9),2/5,43% (6/14),0% (0/6),6/6,1/1,0/1,1/1,0/0
2019 W25 Osaka R16,W vs Jang,42% (5/12),100% (5/5),1/4,31% (4/13),0% (0/4),4/4,1/1,1/1,1/1,0/0
2019 W25 Osaka R32,W vs Zhang,71% (5/7),100% (5/5),1/1,25% (2/8),50% (1/2),4/5,2/2,0/0,1/1,0/0
2019 Dubai R32,L vs Sabalenka,13% (1/8),0% (0/1),0/4,50% (4/8),0% (0/4),0/0,0/0,1/1,0/0,0/0
2019 Dubai R64,W vs Errani,50% (7/14),100% (7/7),2/5,43% (6/14),17% (1/6),5/5,0/1,2/2,0/1,0/0
2019 Dubai Q2,W vs Voegele,50% (5/10),100% (5/5),1/3,30% (3/10),0% (0/3),3/5,2/3,0/0,1/1,0/0
2019 Dubai Q1,W vs Strakhova,100% (6/6),100% (6/6),0/0,33% (2/6),100% (2/2),4/4,0/0,0/0,0/0,0/0
2019 Fed Cup RR,L vs Boulter,56% (5/9),60% (3/5),3/5,60% (6/10),0% (0/6),2/3,0/0,1/2,0/0,0/1
2019 (27 matches),,53.1%,78.9%,37.4%,46.0%,21.1%,67.6%,87.5%,61.1%,92.3%,0.0%
2018 (17 matches),,45.7%,79.7%,28.0%,45.2%,25.3%,72.0%,75.0%,58.3%,85.7%,66.7%
2017 (32 matches),,47.7%,85.1%,35.7%,48.3%,18.8%,68.5%,72.7%,57.7%,64.3%,70.0%
2016 (40 matches),,51.2%,80.1%,34.8%,48.4%,23.9%,67.3%,77.1%,64.7%,71.4%,69.2%
2015 (16 matches),,64.9%,82.0%,44.9%,45.5%,23.9%,65.2%,50.0%,50.0%,62.5%,100.0%
Career (140 matches),,52.1%,81.5%,37.1%,47.8%,22.4%,67.7%,71.4%,60.2%,74.1%,65.8%
