Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2022,495,83,,,,,,,,,,,,
2021,494,94,,,,,,,,,,,,
2020,194,346,,,,,,,,,648,70,,
2019,137,447,145,1621,115,1633,178,1494,172,1434,611,69,,
2018,131,459,134,1626,119,1612,,,174,1415,682,28,,
2017,192,297,174,1507,165,1483,173,1409,177,1372,579,64,,
2016,152,383,217,1396,205,1401,196,1347,193,1342,349,148,,
2015,190,267,,,,,,,,,544,69,,
2014,304,127,,,,,,,,,1232,4,,
2013,649,41,,,,,,,,,,,,
2012,760,23,,,,,,,,,,,,
