Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2003 Dubai F,L vs Henin,60% (12/20),56% (5/9),1/3,0/1,71% (12/17),4/6,3/4,40% (2/5),33% (2/6)
2003 Tokyo F,L vs Davenport,44% (7/16),22% (2/9),1/1,0/0,50% (6/12),7/9,1/2,57% (4/7),57% (4/7)
2002 WTA Tour Championships QF,L vs Williams,60% (6/10),23% (3/13),0/0,0/0,50% (5/10),1/3,1/2,- (0/0),- (0/0)
2002 Tokyo F,L vs Hingis,72% (13/18),33% (2/6),1/3,0/0,60% (3/5),0/2,0/1,43% (3/7),43% (3/7)
2002 Australian Open SF,L vs Hingis,47% (8/17),30% (3/10),1/1,0/0,58% (7/12),2/4,1/2,- (0/0),- (0/0)
2000 WTA Tour Championships F,L vs Hingis,35% (8/23),67% (6/9),1/3,0/0,47% (7/15),6/8,1/2,50% (3/6),67% (4/6)
2000 US Open QF,L vs Hingis,43% (3/7),29% (2/7),0/0,0/0,57% (8/14),0/2,0/1,- (0/0),- (0/0)
2000 Roland Garros QF,L vs Pierce,65% (11/17),40% (2/5),1/1,0/0,63% (5/8),1/3,1/2,- (0/0),- (0/0)
2000 Rome F,W vs Mauresmo,73% (8/11),67% (4/6),2/2,1/1,60% (3/5),0/0,0/0,83% (5/6),40% (2/5)
2000 Indian Wells QF,L vs Hingis,50% (1/2),30% (3/10),0/0,0/0,30% (3/10),0/2,0/1,- (0/0),- (0/0)
1999 Roland Garros SF,L vs Graf,85% (11/13),25% (2/8),1/1,0/0,56% (5/9),0/2,0/1,100% (5/5),50% (2/4)
1999 Australian Open SF,L vs Hingis,44% (4/9),33% (2/6),0/0,0/0,55% (6/11),2/4,1/2,- (0/0),- (0/0)
1999 Australian Open QF,W vs Graf,62% (8/13),63% (5/8),2/5,1/3,71% (5/7),0/0,0/0,- (0/0),- (0/0)
1998 Kremlin Cup F,L vs Pierce,67% (8/12),11% (1/9),0/0,0/0,50% (2/4),2/4,1/2,40% (2/5),0% (0/4)
1998 Canadian Open F,W vs Sanchez Vicario,75% (9/12),50% (3/6),2/2,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
1998 Roland Garros F,L vs Sanchez Vicario,75% (9/12),45% (5/11),1/1,0/0,43% (3/7),0/2,0/1,50% (3/6),33% (2/6)
1998 Roland Garros SF,W vs Hingis,35% (7/20),56% (5/9),2/3,1/1,83% (5/6),0/0,0/0,- (0/0),- (0/0)
1997 Canadian Open F,W vs Huber,71% (5/7),54% (7/13),2/2,1/1,75% (12/16),0/0,0/0,- (0/0),- (0/0)
1997 Roland Garros SF,L vs Hingis,48% (10/21),45% (5/11),1/2,0/0,59% (10/17),3/5,1/2,100% (4/4),60% (3/5)
1997 Hilton Head F,L vs Hingis,62% (8/13),47% (7/15),1/2,0/0,53% (8/15),5/7,3/4,33% (2/6),50% (3/6)
2003 (2 matches),,52.8%,38.9%,50.0%,0.0%,62.1%,73.3%,66.7%,50.0%,46.2%
2002 (3 matches),,60.0%,27.6%,50.0%,-,55.6%,33.3%,40.0%,42.9%,42.9%
2000 (5 matches),,51.7%,45.9%,66.7%,100.0%,50.0%,46.7%,33.3%,66.7%,54.5%
1999 (3 matches),,65.7%,40.9%,50.0%,33.3%,59.3%,33.3%,33.3%,100.0%,50.0%
1998 (4 matches),,58.9%,40.0%,83.3%,100.0%,61.1%,33.3%,33.3%,45.5%,20.0%
Career (60 matches),,62.1%,47.7%,53.0%,52.2%,55.9%,51.6%,45.7%,61.2%,46.2%
