Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2019 Taipei QF,W vs Bains,17.6%,28.4%,54.4%,26.6%,42.2%,55.3%,55.2%,25.7%,20.0%,3.0%,6.1%,53.1%,14.3%,78.9%,100.0%,-87
2019 US Open R64,L vs Gauff,23.1%,38.5%,48.6%,35.7%,58.9%,58.3%,60.0%,22.6%,25.0%,9.5%,16.7%,39.5%,40.0%,54.5%,25.0%,-23
2019 Dubai R64,L vs Cornet,17.0%,22.6%,47.5%,26.7%,33.3%,50.0%,33.3%,13.3%,-,5.3%,10.5%,44.4%,14.3%,33.3%,0.0%,-69
2019 Auckland R32,L vs Andreescu,26.1%,36.4%,44.4%,26.2%,37.7%,51.1%,44.4%,35.3%,33.3%,28.0%,36.0%,27.8%,16.7%,38.5%,0.0%,-14
2018 Monterrey F,L vs Muguruza,28.0%,38.7%,53.3%,34.6%,46.2%,50.0%,68.2%,6.7%,0.0%,23.5%,35.3%,57.7%,72.2%,31.3%,25.0%,102
2018 Taipei F,W vs Baindl,35.2%,40.7%,53.1%,54.5%,57.6%,53.3%,53.3%,44.4%,0.0%,5.6%,16.7%,52.9%,25.0%,50.0%,-,-64
2017 Tashkent SF,W vs Sabalenka,37.7%,39.6%,46.9%,60.7%,64.3%,54.5%,40.0%,30.8%,-,12.5%,12.5%,42.9%,50.0%,18.8%,0.0%,-56
2017 Quebec City SF,W vs Safarova,37.7%,45.5%,56.5%,48.1%,55.8%,63.0%,68.4%,33.3%,-,17.4%,26.1%,47.4%,60.0%,30.8%,-,-7
2016 US Open R32,L vs Halep,16.9%,19.1%,43.7%,19.6%,23.2%,37.8%,48.0%,35.5%,0.0%,13.3%,13.3%,53.8%,29.4%,38.5%,33.3%,6
2016 Roland Garros R64,L vs Mladenovic,15.4%,25.0%,38.1%,16.7%,26.7%,32.0%,8.3%,61.1%,50.0%,15.0%,25.0%,47.1%,0.0%,50.0%,100.0%,-104
2016 Katowice QF,L vs Ostapenko,34.0%,39.8%,33.3%,42.2%,48.4%,32.4%,50.0%,25.0%,25.0%,23.5%,29.4%,34.6%,22.2%,64.0%,100.0%,51
2016 Katowice R16,W vs Golubic,17.6%,24.5%,42.5%,25.0%,33.3%,44.4%,58.6%,54.8%,75.0%,7.9%,13.2%,40.0%,21.1%,84.2%,100.0%,-36
2016 Miami R32,W vs Osaka,40.7%,48.1%,50.0%,52.9%,58.8%,43.8%,47.1%,41.2%,50.0%,25.0%,37.5%,58.3%,33.3%,50.0%,100.0%,111
2016 Miami R128,W vs Tatishvili,33.3%,42.9%,50.0%,36.4%,50.0%,60.7%,54.5%,45.5%,-,33.3%,33.3%,20.0%,25.0%,72.7%,50.0%,150
2016 Indian Wells R128,L vs Tsurenko,29.7%,35.9%,43.6%,35.1%,45.9%,37.5%,52.6%,22.2%,0.0%,28.6%,28.6%,53.3%,37.5%,30.8%,100.0%,137
2016 Doha R16,L vs Muguruza,16.2%,27.9%,46.4%,22.9%,39.6%,54.1%,39.1%,12.0%,0.0%,0.0%,0.0%,31.6%,22.2%,50.0%,-,-119
2016 St Petersburg QF,L vs Vinci,26.1%,37.0%,52.4%,38.0%,53.5%,52.3%,54.8%,45.0%,20.0%,9.1%,13.6%,52.5%,15.0%,75.0%,50.0%,-23
2015 Tianjin QF,L vs Pliskova,20.8%,24.5%,43.6%,25.6%,30.2%,37.5%,43.5%,25.0%,33.3%,0.0%,0.0%,71.4%,0.0%,80.0%,100.0%,-119
2015 Guangzhou R16,L vs Halep,17.3%,21.2%,27.3%,28.1%,34.4%,34.8%,29.4%,33.3%,50.0%,0.0%,0.0%,10.0%,50.0%,66.7%,100.0%,-119
2015 Roland Garros R128,L vs Kerber,9.8%,17.6%,31.8%,10.3%,20.7%,26.9%,64.3%,20.0%,100.0%,10.0%,15.0%,38.9%,50.0%,50.0%,33.3%,-14
Career (23 matches),,24.0%,32.1%,45.5%,31.5%,41.9%,46.3%,50.6%,33.1%,28.6%,13.7%,18.6%,44.3%,30.7%,53.9%,50.0%,20
