Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2024,14,8,6,57.1%,16-13,55.2%,145-144,50.2%,1-3,25.0%,3,57.1%,32.4%,0.4%,4.2%,67.8%,57.5%,43.5%,53.0%,43.2%,48.6%,0.92,SF (W75 Maribor)
2023,42,30,12,71.4%,63-33,65.6%,494-387,56.1%,5-3,62.5%,2,47.1%,11.1%,6.1%,11.3%,59.1%,66.2%,25.5%,49.6%,34.2%,41.7%,0.68,W (3x)
2022,40,19,21,47.5%,47-45,51.1%,427-428,49.9%,3-3,50.0%,3,48.1%,15.4%,0.5%,4.9%,63.7%,56.9%,36.5%,49.5%,33.5%,42.6%,0.66,SF (2x)
2021,17,10,7,58.8%,23-15,60.5%,195-174,52.8%,2-1,66.7%,1,25.0%,14.3%,1.7%,6.8%,52.5%,45.2%,35.7%,40.7%,31.0%,36.6%,0.52,F (W25 Hamburg)
2020,2,0,2,0.0%,1-4,20.0%,14-26,35.0%,0-0,-,0,,,,,,,,,,,,R32 (2x)
2019,25,18,7,72.0%,39-19,67.2%,295-239,55.2%,5-0,100.0%,5,71.4%,35.2%,5.1%,2.4%,65.7%,67.5%,46.5%,60.3%,42.2%,51.6%,1.06,F (2x)
2017,1,0,1,0.0%,0-2,0.0%,7-13,35.0%,0-0,-,0,,,,,,,,,,,,R32 (Dubai 100K)
2015,2,0,2,0.0%,1-4,20.0%,20-29,40.8%,0-0,-,0,,,,,,,,,,,,R32 (2x)
2014,30,22,8,73.3%,48-20,70.6%,364-273,57.1%,6-2,75.0%,1,-,-,14.3%,5.5%,68.1%,74.2%,37.9%,62.6%,30.1%,46.2%,0.81,W (2x)
2013,21,16,5,76.2%,35-16,68.6%,271-201,57.4%,1-4,20.0%,0,,,,,,,,,,,,W (Johannesburg 50K)
2012,12,8,4,66.7%,17-8,68.0%,134-92,59.3%,1-2,33.3%,0,,,,,,,,,,,,F (Quanzhou 50K)
2011,56,40,16,71.4%,86-39,68.8%,657-497,56.9%,6-5,54.5%,0,,,,,,,,,,,,W (4x)
2010,32,25,7,78.1%,55-19,74.3%,398-299,57.1%,8-2,80.0%,0,,,,,,,,,,,,W (3x)
2009,25,22,3,88.0%,46-9,83.6%,319-198,61.7%,7-1,87.5%,0,,,,,,,,,,,,W (2x)
Career,319,218,101,68.3%,477-246,66.0%,3740-3000,55.5%,45-26,63.4%,15,58.0%,26.6%,3.8%,4.7%,64.6%,62.6%,40.0%,54.6%,38.4%,47.0%,0.85,
