Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),171,354,228,1533,244,1470,171,1546,,,,,,
2025,170,344,256,1507,284,1432,185,1527,,,,,,
2024,219,260,356,1385,358,1331,278,1410,,,388,145,,
2023,375,129,390,1309,373,1282,349,1304,,,,,,
2022,259,207,342,1389,323,1355,323,1361,,,,,,
2021,286,196,349,1326,330,1316,345,1271,,,,,,
2020,457,80,,,,,,,,,404,111,,
2019,411,84,458,1229,440,1226,429,1191,,,353,131,,
2018,,,,,,,,,,,439,47,,
2017,1606,1,,,,,,,,,,,,
2016,1928,1,,,,,,,,,1123,20,,
