Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,11,Hard,38,27,11,71.1%,5,2,3,40.0%,2013,2023,F,38,1.11,5.5%,4.1%,61.1%,68.8%,46.6%,60.2%,44.3%,61.7%,48.4%
Roland Garros,11,Clay,41,31,10,75.6%,5,2,3,40.0%,2012,2022,W,40,1.21,3.8%,5.3%,60.7%,68.5%,48.1%,60.5%,47.7%,61.0%,48.2%
Wimbledon,10,Grass,28,19,9,67.9%,2,2,0,100.0%,2012,2022,W,25,1.12,4.7%,3.7%,61.8%,69.2%,48.7%,61.3%,43.4%,67.4%,38.2%
US Open,10,Hard,22,12,10,54.5%,10,5,5,50.0%,2012,2022,R16,21,1.09,5.6%,3.9%,62.3%,65.7%,48.7%,59.3%,44.1%,57.2%,46.2%
Olympics,2,,7,5,2,71.4%,0,0,0,-,2016,2021,QF,3,1.25,9.5%,8.8%,59.1%,66.7%,50.0%,59.9%,50.3%,22.2%,47.8%
Fed Cup,5,,12,9,3,75.0%,2,2,0,100.0%,2015,2019,,10,1.21,5.7%,4.0%,64.2%,67.8%,52.6%,62.3%,45.6%,59.0%,42.0%
Rome,9,Clay,27,18,9,66.7%,5,1,4,20.0%,2013,2022,SF,27,1.12,4.0%,5.5%,63.2%,64.9%,46.1%,58.0%,47.2%,57.3%,50.4%
Miami,9,Hard,23,14,9,60.9%,9,2,7,22.2%,2012,2021,R16,23,1.05,3.9%,5.0%,61.2%,63.0%,48.5%,57.4%,44.8%,52.5%,44.9%
Indian Wells,9,Hard,21,12,9,57.1%,3,1,2,33.3%,2013,2022,QF,21,1.02,3.0%,4.9%,62.3%,62.4%,47.3%,56.7%,44.3%,54.2%,48.6%
Cincinnati,9,Hard,17,9,8,52.9%,7,4,3,57.1%,2012,2022,W,16,1.05,4.8%,5.3%,64.5%,69.3%,46.9%,61.4%,40.5%,63.2%,43.5%
Madrid,9,Clay,16,7,9,43.8%,4,1,3,25.0%,2012,2022,R16,16,1.00,5.1%,4.3%,64.2%,62.9%,47.8%,57.5%,42.6%,60.4%,44.4%
Dubai,8,Hard,24,17,7,70.8%,8,5,3,62.5%,2015,2022,W,24,1.14,6.5%,6.3%,60.9%,70.9%,44.7%,60.7%,44.9%,60.8%,39.7%
