Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2023 Lyon R32,L vs Noskova,27.3%,36.4%,38.7%,35.7%,50.0%,38.9%,50.0%,58.3%,-,13.3%,13.3%,38.5%,40.0%,30.0%,25.0%,-28
2023 Adelaide R32,L vs Andreescu,23.5%,40.0%,43.1%,24.1%,46.3%,51.2%,33.3%,56.7%,66.7%,22.6%,29.0%,29.2%,0.0%,58.8%,50.0%,-104
2022 Tokyo QF,L vs Samsonova,16.7%,28.3%,38.3%,22.5%,37.5%,38.7%,31.8%,50.0%,25.0%,5.9%,11.8%,37.5%,0.0%,14.3%,0.0%,-61
2022 US Open R32,L vs Kvitova,32.4%,45.1%,50.0%,26.5%,42.6%,52.0%,43.3%,21.1%,0.0%,48.4%,54.8%,43.8%,7.7%,11.1%,-,3
2022 US Open R64,W vs Fruhvirtova,20.0%,38.2%,58.1%,25.7%,51.4%,61.5%,30.0%,46.7%,75.0%,10.5%,15.8%,52.9%,16.7%,7.7%,50.0%,-43
2022 Indian Wells R64,L vs Riske Amritraj,21.1%,29.6%,36.0%,23.3%,34.9%,39.4%,27.3%,42.9%,80.0%,22.7%,27.3%,29.4%,22.2%,23.1%,0.0%,87
2022 Australian Open R64,L vs Cornet,11.1%,20.6%,52.8%,15.8%,28.9%,50.0%,47.1%,42.9%,80.0%,4.5%,9.1%,57.1%,8.3%,50.0%,33.3%,-73
2022 Sydney QF,L vs Kasatkina,11.5%,19.7%,47.2%,16.7%,28.6%,54.3%,15.0%,45.5%,50.0%,0.0%,0.0%,33.3%,0.0%,90.0%,100.0%,-119
2022 Sydney R16,W vs Alexandrova,23.2%,33.3%,63.3%,33.3%,46.2%,65.4%,31.6%,50.0%,33.3%,11.5%,19.2%,60.9%,12.5%,50.0%,100.0%,-18
2021 Guadalajara Finals F,W vs Kontaveit,28.1%,49.1%,53.7%,33.3%,58.3%,54.2%,64.3%,45.5%,0.0%,19.0%,33.3%,52.9%,50.0%,36.4%,0.0%,-104
2021 Guadalajara Finals SF,W vs Badosa,26.3%,38.6%,64.1%,34.4%,53.1%,71.4%,66.7%,41.2%,100.0%,18.2%,22.7%,55.6%,20.0%,58.3%,50.0%,41
2021 Guadalajara Finals RR,W vs Kontaveit,42.6%,45.9%,53.1%,54.3%,57.1%,56.3%,57.1%,57.1%,33.3%,30.4%,34.8%,50.0%,45.5%,50.0%,-,35
2021 Guadalajara Finals RR,W vs Krejcikova,26.4%,43.7%,45.9%,32.2%,57.6%,57.5%,51.7%,36.7%,75.0%,16.0%,16.0%,23.8%,11.1%,50.0%,50.0%,25
2021 Guadalajara Finals RR,L vs Pliskova,28.8%,36.0%,40.8%,34.8%,45.5%,46.5%,41.9%,31.4%,42.9%,21.4%,23.8%,33.3%,5.9%,60.0%,50.0%,-23
2021 Moscow QF,L vs Kontaveit,14.6%,22.0%,31.3%,13.0%,26.1%,40.0%,41.7%,54.5%,100.0%,20.0%,20.0%,16.7%,12.5%,57.1%,100.0%,73
2021 Chicago F,W vs Jabeur,23.0%,33.8%,52.8%,26.0%,40.0%,54.1%,25.0%,46.2%,0.0%,20.0%,25.0%,50.0%,0.0%,45.5%,100.0%,73
2021 US Open R16,L vs Krejcikova,21.7%,28.3%,43.2%,28.6%,38.1%,43.3%,29.4%,32.0%,20.0%,6.7%,6.7%,42.9%,0.0%,42.9%,100.0%,-55
2021 US Open R32,W vs Azarenka,26.3%,40.8%,50.0%,34.0%,54.0%,60.6%,38.1%,48.3%,0.0%,13.6%,18.2%,31.6%,46.2%,33.3%,25.0%,14
2021 US Open R128,W vs Vekic,34.4%,45.6%,50.0%,42.9%,58.9%,59.4%,22.7%,41.2%,16.7%,21.2%,24.2%,38.5%,0.0%,44.4%,-,-68
2021 Tokyo Olympics QF,L vs Rybakina,22.2%,30.2%,45.8%,31.6%,44.7%,42.3%,47.4%,31.6%,14.3%,8.3%,8.3%,50.0%,0.0%,21.4%,100.0%,-56
Career (144 matches),,23.2%,33.0%,48.1%,28.4%,41.3%,51.5%,36.5%,38.8%,43.5%,16.3%,21.2%,42.4%,17.6%,30.9%,33.4%,37
