Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2026 Indian Wells R64,L vs Andreeva,4.0,4.2,3.7,32.5%,23.5%,30.8%,0.0%,35.4%,7.1%,-6.0,-14.3,-13.0,-16.9
2026 Indian Wells R128,W vs Stearns,2.8,2.8,2.7,45.8%,67.9%,60.0%,-,46.2%,10.0%,6.0,10.5,9.5,15.1
2026 Doha R64,L vs Pliskova,3.7,4.2,3.1,32.2%,23.1%,66.7%,50.0%,54.3%,10.2%,1.0,1.5,3.0,5.7
2026 Manila QF,W vs Tararudee,3.8,4.1,3.5,54.2%,46.4%,63.6%,50.0%,38.2%,12.2%,5.0,7.7,9.0,8.9
2026 Australian Open R128,L vs Uchijima,3.0,3.2,2.7,40.8%,35.0%,75.0%,25.0%,51.2%,5.1%,2.0,3.5,3.0,5.4
2026 United Cup QF,L vs Bencic,3.4,3.7,3.1,35.3%,26.1%,80.0%,60.0%,45.9%,2.7%,0.5,0.9,-1.0,-1.4
2026 United Cup RR,L vs Gauff,3.8,3.7,3.9,39.6%,30.0%,33.3%,20.0%,52.6%,4.7%,-6.5,-9.7,-3.0,-4.9
2026 United Cup RR,W vs Bouzas Maneiro,3.2,3.5,2.8,57.9%,47.1%,57.1%,87.5%,61.6%,1.2%,22.5,17.7,20.5,25.6
2025 Mallorca SF,W vs Lazaro Garcia,3.9,3.5,4.2,50.7%,84.8%,41.7%,42.9%,62.6%,7.9%,25.0,20.5,7.5,10.7
2025 Mallorca R32,W vs Spiteri,3.6,4.0,3.4,52.6%,73.5%,43.8%,20.0%,51.3%,5.2%,17.0,17.7,9.0,10.1
2025 Sao Paulo QF,L vs Jones,3.2,3.7,2.7,41.0%,56.7%,16.7%,50.0%,42.5%,9.1%,6.5,10.5,9.5,11.9
2025 Sao Paulo R16,W vs Leme Da Silva,3.3,3.9,2.5,58.6%,72.2%,75.0%,16.7%,59.0%,8.8%,3.5,4.7,10.0,19.2
2025 Wimbledon R32,W vs Bucsa,3.0,3.1,2.9,51.9%,48.5%,66.7%,14.3%,53.4%,4.9%,3.0,2.7,14.0,14.3
2025 Wimbledon R64,W vs Boulter,2.5,3.0,2.0,59.2%,50.0%,50.0%,28.6%,48.8%,9.2%,9.5,12.3,0.5,0.6
2025 Roland Garros Q3,W vs Wang,4.2,4.0,4.3,55.9%,61.8%,50.0%,42.9%,49.5%,5.8%,16.0,16.0,14.0,14.4
2025 Australian Open Q1,L vs Ciric Bagaric,3.4,3.7,3.1,49.0%,41.7%,53.3%,28.6%,50.0%,7.3%,10.5,10.0,11.0,10.9
2024 US Open R128,L vs Maria,4.3,4.6,4.0,27.1%,47.6%,69.2%,38.5%,52.7%,19.3%,9.5,10.1,0.0,0.0
2023 ITF Mendoza F,W vs Capurro Taborda,5.5,5.1,5.9,51.0%,76.0%,53.3%,60.0%,44.6%,5.8%,11.0,9.3,2.5,1.7
2022 Buenos Aires R32,L vs Podoroska,4.0,3.8,4.2,45.8%,50.0%,35.3%,50.0%,50.2%,6.5%,11.0,9.1,-6.5,-5.6
2022 ITF Platja R32,W vs Kung,4.2,4.1,4.2,61.4%,52.9%,50.0%,72.7%,40.5%,10.6%,12.5,17.4,13.5,13.4
Last 52 Weeks (15 matches),,3.3,3.6,3.1,49.1%,53.0%,52.8%,39.6%,50.7%,7.0%,7.0,8.9,6.2,8.2
Career (20 matches),,3.6,3.7,3.4,48.6%,52.9%,52.4%,44.7%,49.7%,7.7%,8.0,9.4,5.7,6.8
