Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Indian Wells R64,L vs Andreeva,63.2%,29.2%,7.9%,2/1,2.20,10.3%,57.1%,50.0%,4.8%,2.08,14.3%,85.7%,8.3%,14.3%,2.32,6.7%
2026 Indian Wells R128,W vs Stearns,64.4%,50.0%,15.3%,6/3,2.66,4.3%,61.3%,52.6%,12.9%,2.67,7.1%,73.1%,47.4%,19.2%,2.64,0.0%
2026 Doha R64,L vs Pliskova,53.8%,38.1%,17.9%,5/2,2.25,2.2%,50.0%,46.2%,15.4%,2.18,4.3%,72.7%,25.0%,27.3%,2.31,0.0%
2026 Manila QF,W vs Tararudee,65.2%,65.1%,4.5%,1/2,2.42,23.8%,58.8%,55.0%,0.0%,2.40,43.5%,88.5%,73.9%,11.5%,2.43,0.0%
2026 Australian Open R128,L vs Uchijima,54.3%,52.0%,8.7%,0/4,2.17,11.9%,48.3%,42.9%,0.0%,2.15,22.7%,68.8%,63.6%,25.0%,2.19,0.0%
2026 United Cup QF,L vs Bencic,44.0%,50.0%,10.0%,3/2,2.28,13.5%,38.9%,28.6%,2.8%,2.56,26.3%,66.7%,87.5%,33.3%,1.99,0.0%
2026 United Cup RR,L vs Gauff,66.7%,35.7%,9.5%,0/4,2.04,3.2%,79.2%,42.1%,4.2%,1.92,5.0%,64.3%,22.2%,21.4%,2.25,0.0%
2026 United Cup RR,W vs Bouzas Maneiro,61.4%,64.7%,9.6%,4/4,2.24,6.9%,71.1%,62.5%,4.4%,2.28,11.4%,70.4%,68.4%,22.2%,2.20,0.0%
2025 Mallorca SF,W vs Lazaro Garcia,76.1%,55.6%,1.4%,0/1,2.02,0.0%,75.6%,52.9%,2.2%,2.16,0.0%,87.0%,60.0%,0.0%,1.67,0.0%
2025 Mallorca R32,W vs Spiteri,73.8%,71.2%,2.5%,2/0,2.08,32.5%,77.6%,71.1%,3.4%,1.86,39.1%,77.8%,71.4%,0.0%,2.36,23.5%
2025 Sao Paulo QF,L vs Jones,50.0%,60.0%,3.3%,0/2,2.25,0.0%,45.7%,68.8%,2.9%,2.36,0.0%,63.6%,50.0%,4.5%,2.01,0.0%
2025 Sao Paulo R16,W vs Leme Da Silva,64.4%,79.3%,8.9%,2/2,2.76,2.6%,55.6%,80.0%,11.1%,2.71,0.0%,90.5%,78.9%,9.5%,2.92,10.0%
2025 Wimbledon R32,W vs Bucsa,62.8%,68.5%,8.1%,4/3,2.60,4.7%,63.8%,73.0%,8.6%,2.49,5.1%,70.8%,58.8%,8.3%,2.76,4.0%
2025 Wimbledon R64,W vs Boulter,53.3%,70.8%,2.2%,0/2,2.75,37.5%,59.6%,67.7%,3.8%,2.84,50.0%,70.8%,76.5%,0.0%,2.46,0.0%
2025 Roland Garros Q3,W vs Wang,85.7%,64.8%,6.3%,4/0,2.78,4.8%,90.2%,65.2%,2.0%,2.60,6.3%,80.0%,62.5%,30.0%,3.36,0.0%
2025 Australian Open Q1,L vs Ciric Bagaric,67.5%,53.8%,9.1%,4/3,2.37,3.2%,68.0%,47.1%,12.0%,2.49,2.4%,75.0%,66.7%,4.2%,2.13,5.0%
2024 US Open R128,L vs Maria,47.1%,50.0%,2.0%,1/0,2.41,100.0%,35.5%,45.5%,3.2%,2.32,100.0%,86.7%,53.8%,0.0%,2.59,100.0%
2023 ITF Mendoza F,W vs Capurro Taborda,82.7%,55.8%,0.0%,0/0,2.45,0.0%,93.5%,55.2%,0.0%,2.41,0.0%,93.3%,57.1%,0.0%,2.54,0.0%
2022 Buenos Aires R32,L vs Podoroska,73.6%,47.2%,0.0%,0/0,1.76,6.8%,73.1%,55.3%,0.0%,1.79,9.8%,88.2%,26.7%,0.0%,1.67,0.0%
2022 ITF Platja R32,W vs Kung,76.9%,70.0%,7.7%,2/2,2.14,0.0%,80.6%,64.0%,9.7%,2.17,0.0%,100.0%,80.0%,6.7%,2.09,0.0%
Last 52 Weeks (15 matches),,63.2%,60.0%,7.1%,50.8%,2.39,10.7%,64.3%,60.2%,4.8%,2.39,15.5%,75.7%,59.6%,13.2%,2.38,2.9%
Career (20 matches),,64.8%,58.7%,6.3%,51.9%,2.34,13.3%,65.8%,58.5%,4.9%,2.34,17.0%,78.3%,59.0%,10.7%,2.33,6.8%
