Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Indian Wells R64,L vs Andreeva,0.0%,-,6.7%,40.0%,5.9%,14.3%,0.0%,3.4%,11.1%,1.5%,50.0%,85,67
2026 Indian Wells R128,W vs Stearns,0.0%,-,3.7%,100.0%,26.3%,42.9%,0.0%,15.9%,44.4%,0.0%,-,98,136
2026 Doha R64,L vs Pliskova,0.0%,-,4.4%,75.0%,16.7%,0.0%,0.0%,10.9%,33.3%,0.0%,-,26,-21
2026 Manila QF,W vs Tararudee,0.0%,-,10.7%,76.9%,5.1%,0.0%,0.0%,17.8%,29.2%,2.2%,50.0%,79,49
2026 Australian Open R128,L vs Uchijima,0.0%,-,4.8%,40.0%,22.9%,33.3%,0.0%,13.6%,25.0%,0.0%,-,206,138
2026 United Cup QF,L vs Bencic,0.0%,-,3.8%,75.0%,14.3%,36.4%,0.0%,6.8%,10.5%,0.7%,0.0%,-6,11
2026 United Cup RR,L vs Gauff,0.0%,-,8.2%,42.9%,9.3%,20.0%,0.0%,8.9%,0.0%,1.5%,50.0%,59,74
2026 United Cup RR,W vs Bouzas Maneiro,0.0%,-,4.1%,57.1%,16.5%,50.0%,0.0%,26.7%,57.1%,0.5%,100.0%,119,111
2025 Mallorca SF,W vs Lazaro Garcia,0.0%,-,4.2%,60.0%,22.6%,40.0%,0.0%,16.7%,40.0%,1.5%,33.3%,65,69
2025 Mallorca R32,W vs Spiteri,0.0%,-,7.6%,70.0%,23.4%,36.4%,0.0%,11.3%,44.4%,1.5%,66.7%,66,40
2025 Sao Paulo QF,L vs Jones,0.0%,-,5.0%,83.3%,28.6%,40.0%,0.0%,18.8%,41.7%,0.7%,0.0%,226,151
2025 Sao Paulo R16,W vs Leme Da Silva,0.0%,-,4.9%,80.0%,7.1%,11.1%,0.0%,15.2%,50.0%,0.7%,0.0%,97,97
2025 Wimbledon R32,W vs Bucsa,0.0%,-,4.3%,75.0%,14.3%,33.3%,0.0%,16.7%,46.7%,1.4%,33.3%,135,121
2025 Wimbledon R64,W vs Boulter,0.0%,-,1.7%,33.3%,15.3%,0.0%,0.0%,9.4%,36.4%,1.8%,66.7%,114,139
2025 Roland Garros Q3,W vs Wang,0.0%,-,4.3%,80.0%,13.3%,20.0%,0.0%,19.7%,50.0%,0.5%,100.0%,13,20
2025 Australian Open Q1,L vs Ciric Bagaric,0.0%,-,5.6%,55.6%,17.1%,42.9%,0.0%,21.0%,22.2%,0.5%,0.0%,78,67
2024 US Open R128,L vs Maria,0.0%,-,18.9%,65.0%,19.3%,28.0%,25.0%,8.3%,23.1%,1.1%,0.0%,127,73
2023 ITF Mendoza F,W vs Capurro Taborda,0.0%,-,4.6%,100.0%,10.4%,23.1%,0.0%,6.1%,27.8%,2.5%,42.9%,-2,-1
2022 Buenos Aires R32,L vs Podoroska,0.0%,-,10.8%,56.3%,16.3%,19.2%,0.0%,10.5%,28.6%,0.8%,0.0%,75,62
2022 ITF Platja R32,W vs Kung,0.0%,-,7.3%,75.0%,18.5%,44.4%,0.0%,12.7%,31.3%,1.6%,66.7%,-1,15
Last 52 Weeks (15 matches),,0.0%,-,5.0%,67.4%,16.4%,25.3%,0.0%,14.4%,34.9%,1.0%,48.0%,90,82
Career (20 matches),,0.0%,-,6.1%,66.7%,16.3%,26.4%,3.7%,13.4%,32.3%,1.1%,42.5%,79,71
