Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2005,310,105,108,1668,70,1692,,,62,1642,702,40,,
2004,91,452,37,1837,25,1816,59,1726,20,1759,232,194,,
2003,40,930,37,1853,23,1844,50,1753,14,1785,167,296,,
2002,83,483,50,1828,39,1798,43,1782,25,1759,1536,1,,
2001,101,412,45,1842,39,1795,37,1823,23,1760,540,59,,
2000,73,555,31,1890,34,1806,20,1878,12,1798,535,60,,
1999,17,1633,12,1969,15,1887,16,1893,13,1838,334,144,,
1998,8,2579,19,1951,19,1896,19,1909,28,1769,350,141,,
1997,24,1423,37,1899,40,1798,40,1819,20,1788,319,171,,
1996,63,734,70,1816,63,1760,86,1724,44,1732,237,238,,
1995,79,,86,1770,157,1597,105,1698,49,1697,706,33,,
1994,54,,87,1778,201,1513,72,1743,109,1575,241,232,,
1993,159,,138,1672,238,1444,149,1615,,,273,180,,
1992,210,,243,1518,284,1347,247,1448,,,374,80,,
1991,352,,,,,,,,,,469,52,,
1990,862,,,,,,,,,,530,27,,
