Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2005,4,1,3,25.0%,3-6,33.3%,31-42,42.5%,0-0,-,0,,,,,,,,,,,,R16 (Segovia)
2004,22,16,6,72.7%,34-13,72.3%,261-196,57.1%,3-4,42.9%,0,,,,,,,,,,,,W (Grenoble)
2003,5,5,0,100.0%,10-1,90.9%,65-28,69.9%,0-0,-,0,,,,,,,,,,,,W (Wroclaw)
2002,2,1,1,50.0%,3-3,50.0%,32-27,54.2%,0-1,0.0%,0,,,,,,,,,,,,R16 (Bratislava)
2001,10,8,2,80.0%,17-5,77.3%,128-83,60.7%,2-2,50.0%,0,,,,,,,,,,,,W (Bratislava)
1997,4,3,1,75.0%,6-5,54.5%,48-45,51.6%,1-0,100.0%,0,,,,,,,,,,,,SF (Kosice)
1996,10,7,3,70.0%,15-6,71.4%,108-78,58.1%,1-1,50.0%,0,,,,,,,,,,,,F (Brest)
1994,43,31,12,72.1%,60-25,70.6%,435-308,58.5%,5-3,62.5%,0,,,,,,,,,,,,W (3x)
1993,31,16,15,51.6%,32-29,52.5%,294-263,52.8%,4-6,40.0%,0,,,,,,,,,,,,F (Geneva)
1992,16,8,8,50.0%,17-20,45.9%,156-178,46.7%,1-0,100.0%,0,,,,,,,,,,,,W (Prague)
1991,3,0,3,0.0%,1-6,14.3%,22-40,35.5%,0-0,-,0,,,,,,,,,,,,R32 (3x)
Career,150,96,54,64.0%,198-119,62.5%,1580-1288,55.1%,17-17,50.0%,0,,,,,,,,,,,,
