Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-10-14),1308,5,,,,,,,,,72,1285,,
2023,555,83,371,1279,368,1235,354,1241,,,,,,
2022,345,154,,,,,,,,,,,,
2021,483,98,,,,,,,,,,,,
2020,477,89,,,,,,,,,322,240,,
2019,470,86,,,,,,,,,308,239,,
2018,544,36,,,,,,,,,526,64,,
2017,781,21,,,,,,,,,489,92,,
2016,409,86,,,,,,,,,290,201,,
2015,1211,4,,,,,,,,,988,16,,
2014,957,10,,,,,,,,,753,28,,
2013,360,123,,,,,,,,,443,115,,
2012,438,79,,,,,,,,,630,49,,
2011,907,15,,,,,,,,,646,50,,
2010,748,23,,,,,,,,,828,21,,
