Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,137,50,87,36.5%,128-188,40.5%,1448-1602,47.5%,21-25,45.7%,128,73.1%,21.8%,4.3%,4.2%,62.8%,67.7%,49.6%,61.0%,36.7%,48.7%,0.94
Clay,93,30,63,32.3%,77-138,35.8%,921-1105,45.5%,10-17,37.0%,84,66.7%,24.8%,2.7%,3.7%,63.4%,64.0%,46.1%,57.4%,38.7%,48.0%,0.91
Carpet,6,3,3,50.0%,8-7,53.3%,80-74,51.9%,2-2,50.0%,2,78.6%,22.2%,5.7%,6.2%,70.5%,69.9%,52.6%,64.8%,36.2%,50.7%,1.03
Semi-finals,3,0,3,0.0%,0-6,0.0%,18-36,33.3%,0-0,-,3,59.3%,7.4%,2.1%,3.2%,62.6%,57.3%,41.4%,51.3%,30.2%,41.5%,0.62
Quarter-finals,20,3,17,15.0%,9-34,20.9%,168-241,41.1%,1-4,20.0%,18,68.4%,14.6%,2.7%,3.6%,60.8%,64.7%,45.7%,57.3%,33.2%,45.7%,0.78
vs Righties,195,67,128,34.4%,171-279,38.0%,2003-2303,46.5%,27-38,41.5%,176,70.2%,22.8%,3.7%,4.1%,63.1%,65.8%,48.0%,59.2%,37.3%,48.2%,0.91
vs Lefties,31,9,22,29.0%,26-48,35.1%,326-401,44.8%,5-6,45.5%,28,69.9%,19.9%,3.3%,3.7%,64.2%,66.7%,47.4%,59.8%,36.6%,48.1%,0.91
