Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,1,0,1,0.0%,1-2,33.3%,11-12,47.8%,0-0,-,1,50.0%,45.5%,0.0%,2.7%,60.8%,51.1%,44.8%,48.6%,47.7%,48.2%,0.93,R32 (W75 Manama)
2025,50,30,20,60.0%,63-48,56.8%,553-483,53.4%,7-5,58.3%,49,60.3%,43.9%,2.0%,6.3%,60.5%,59.4%,46.4%,54.3%,47.2%,50.8%,1.03,W (2x)
2024,36,19,17,52.8%,44-35,55.7%,397-343,53.6%,4-3,57.1%,15,58.8%,44.4%,1.3%,4.7%,62.2%,58.6%,43.9%,53.0%,47.5%,50.4%,1.01,W (Bucharest 125)
2023,60,36,24,60.0%,80-58,58.0%,673-588,53.4%,8-8,50.0%,14,62.9%,39.4%,1.8%,4.5%,60.9%,59.4%,49.0%,55.3%,45.4%,50.3%,1.02,F (3x)
2022,68,44,24,64.7%,93-61,60.4%,768-634,54.8%,3-10,23.1%,1,44.4%,22.2%,1.6%,8.2%,67.2%,53.7%,35.0%,47.5%,36.7%,42.7%,0.70,W (W25 Otocec)
2021,32,17,15,53.1%,40-34,54.1%,353-336,51.2%,3-3,50.0%,0,,,,,,,,,,,,W (W15 Antalya)
2020,9,3,6,33.3%,8-11,42.1%,83-94,46.9%,2-1,66.7%,0,,,,,,,,,,,,QF (W25 Marbella)
2019,37,21,16,56.8%,48-38,55.8%,421-364,53.6%,1-4,20.0%,0,,,,,,,,,,,,F (2x)
2018,29,18,11,62.1%,39-27,59.1%,301-263,53.4%,1-0,100.0%,0,,,,,,,,,,,,W (Curtea de Arges $15K)
2017,42,28,14,66.7%,59-37,61.5%,481-415,53.7%,6-4,60.0%,0,,,,,,,,,,,,W (Varna $15K)
2016,32,23,9,71.9%,49-27,64.5%,382-297,56.3%,1-2,33.3%,0,,,,,,,,,,,,W (Galati $10K)
2015,3,1,2,33.3%,2-4,33.3%,22-30,42.3%,0-0,-,0,,,,,,,,,,,,R16 (Sibiu $10K)
2014,4,2,2,50.0%,5-5,50.0%,43-49,46.7%,1-0,100.0%,0,,,,,,,,,,,,R16 (2x)
Career,403,242,161,60.0%,531-387,57.8%,4488-3908,53.5%,37-40,48.1%,80,60.2%,42.9%,1.8%,5.6%,61.0%,59.1%,46.2%,54.1%,46.8%,50.5%,1.02,
