Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2025 BJK Cup Qualifiers RR,L vs Vedder,4.2,3.7,4.8,31.7%,60.0%,16.7%,75.0%,65.3%,30.4%,0.0,0.0,-3.0,-6.3
2025 Indian Wells R128,L vs Montgomery,3.5,3.8,3.1,46.4%,59.5%,21.1%,63.6%,58.3%,26.5%,-7.5,-5.3,1.0,1.2
2024 US Open R32,L vs Zheng,3.2,3.6,2.8,38.3%,38.1%,33.3%,40.0%,62.7%,19.5%,4.5,6.8,-2.5,-7.6
2023 Hamburg R32,W vs Seidel,2.9,2.7,3.1,47.9%,53.7%,55.6%,75.0%,68.1%,18.1%,14.0,9.7,4.0,6.8
2023 Roland Garros R128,L vs Kasatkina,5.3,5.0,5.5,46.4%,50.0%,45.5%,27.3%,53.5%,19.5%,-0.5,-0.3,-11.5,-10.8
2023 Monterrey R32,L vs Dolehide,2.6,2.4,2.8,31.7%,47.1%,0.0%,0.0%,64.0%,29.6%,-4.5,-9.6,-3.5,-19.4
2023 Australian Open R128,L vs Swiatek,3.7,3.7,3.6,46.0%,48.8%,36.4%,37.5%,54.9%,19.8%,0.5,0.5,-10.5,-13.5
2022 US Open R16,L vs Swiatek,3.4,3.0,3.9,47.2%,48.8%,22.7%,100.0%,51.0%,21.2%,1.0,0.9,4.5,4.9
2022 Wimbledon QF,L vs Maria,4.1,3.4,4.7,45.6%,54.5%,42.9%,31.3%,59.1%,41.5%,6.0,4.0,0.0,0.0
2022 Wimbledon R64,W vs Kontaveit,2.9,3.2,2.6,56.9%,66.7%,80.0%,100.0%,58.9%,30.8%,15.5,32.3,0.5,1.9
2022 Stuttgart R32,L vs Andreescu,3.3,3.2,3.3,48.5%,40.9%,38.5%,42.9%,54.3%,17.9%,9.5,10.4,-9.5,-14.2
2022 Australian Open Q3,L vs Hartono,3.4,3.0,3.8,51.4%,48.8%,30.0%,14.3%,68.3%,13.0%,-15.0,-9.6,8.0,12.3
2021 Strasbourg QF,W vs Rus,4.2,3.4,4.7,51.7%,63.0%,75.0%,77.8%,58.5%,15.0%,17.0,16.7,3.5,5.1
2021 Strasbourg R32,W vs Parry,3.7,3.3,4.0,52.9%,81.0%,57.9%,0.0%,47.5%,22.1%,5.0,6.0,6.5,9.2
2021 ITF Prague F,W vs Galfi,3.1,3.3,3.0,55.4%,52.0%,72.7%,100.0%,50.7%,6.1%,-0.5,-0.8,10.0,16.4
Last 52 Weeks (1 matches),,4.2,3.7,4.8,31.7%,60.0%,16.7%,75.0%,65.3%,30.4%,0.0,0.0,-3.0,-6.3
Career (15 matches),,3.6,3.4,3.8,47.0%,53.6%,42.4%,47.5%,58.2%,22.3%,3.0,2.8,-0.2,-0.3
