Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,42,14,28,33.3%,33-57,36.7%,383-459,45.5%,3-5,37.5%,39,61.0%,28.8%,5.8%,9.7%,53.5%,65.4%,41.7%,54.4%,40.7%,47.8%,0.89
Clay,33,15,18,45.5%,37-41,47.4%,368-375,49.5%,4-4,50.0%,32,59.7%,40.9%,5.8%,9.2%,56.7%,66.5%,42.9%,56.3%,43.3%,49.9%,0.99
Grass,21,10,11,47.6%,27-25,51.9%,243-240,50.3%,2-2,50.0%,21,71.0%,28.8%,6.0%,7.4%,55.7%,68.9%,46.4%,59.0%,40.8%,50.0%,0.99
Grand Slams,22,12,10,54.5%,29-23,55.8%,250-228,52.3%,2-2,50.0%,22,68.2%,35.7%,5.1%,7.7%,57.0%,65.6%,45.3%,56.9%,43.8%,50.5%,1.02
Premiers,17,5,12,29.4%,14-25,35.9%,157-203,43.6%,2-1,66.7%,17,67.4%,18.8%,6.6%,8.6%,53.3%,67.5%,46.8%,57.9%,36.3%,47.4%,0.86
Internationals,41,15,26,36.6%,37-56,39.8%,417-469,47.1%,2-8,20.0%,41,60.7%,33.3%,5.5%,9.2%,54.1%,66.2%,40.6%,54.5%,42.3%,48.5%,0.93
Semi-finals,2,0,2,0.0%,2-4,33.3%,31-35,47.0%,0-1,0.0%,2,65.6%,30.3%,3.5%,8.8%,57.1%,65.9%,41.2%,55.3%,42.6%,49.1%,0.95
Quarter-finals,6,2,4,33.3%,5-8,38.5%,58-66,46.8%,0-0,-,6,66.1%,27.4%,4.4%,8.3%,57.3%,64.8%,44.6%,56.2%,39.7%,48.3%,0.91
vs Righties,83,32,51,38.6%,80-109,42.3%,849-938,47.5%,6-10,37.5%,79,62.2%,33.6%,6.0%,9.0%,55.1%,66.3%,43.0%,55.8%,41.8%,49.0%,0.95
vs Lefties,11,6,5,54.5%,13-11,54.2%,109-104,51.2%,2-0,100.0%,10,70.4%,29.5%,5.3%,8.4%,55.3%,71.2%,45.6%,59.8%,41.0%,50.7%,1.02
vs Top 10,11,4,7,36.4%,9-15,37.5%,100-124,44.6%,3-0,100.0%,11,59.1%,28.8%,4.0%,8.2%,52.8%,63.7%,44.5%,54.6%,41.4%,47.8%,0.91
