Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2025 BJK Cup Qualifiers RR,L vs Vedder,25% (2/8),100% (2/2),1/5,75% (6/8),0% (0/6),0/2,0/0,1/2,0/0,1/1
2025 Indian Wells R128,L vs Montgomery,43% (6/14),83% (5/6),1/5,53% (8/15),13% (1/8),2/5,1/3,0/2,0/2,0/1
2024 US Open R32,L vs Zheng,14% (1/7),0% (0/1),0/4,63% (5/8),0% (0/5),0/0,0/0,0/1,0/0,0/1
2024 US Open R64,W vs Uchijima,88% (7/8),71% (5/7),0/1,25% (2/8),50% (1/2),2/3,0/0,0/0,0/0,0/0
2024 US Open R128,W vs Yastremska,50% (8/16),63% (5/8),1/2,56% (9/16),67% (6/9),3/4,1/2,1/1,0/1,0/0
2024 Wimbledon R64,L vs Svitolina,20% (2/10),100% (2/2),2/4,56% (5/9),20% (1/5),2/2,0/0,1/1,0/0,1/1
2024 Wimbledon R128,W vs Golubic,71% (5/7),100% (5/5),1/1,13% (1/8),0% (0/1),4/4,1/1,0/0,1/1,0/0
2023 Hamburg R32,W vs Seidel,64% (9/14),56% (5/9),2/5,50% (7/14),14% (1/7),3/4,0/0,3/4,0/0,0/0
2023 Wimbledon R64,L vs Galfi,43% (6/14),33% (2/6),1/3,47% (7/15),43% (3/7),2/2,1/1,2/3,0/0,0/1
2023 Wimbledon R128,W vs Muchova,50% (7/14),57% (4/7),0/2,27% (4/15),50% (2/4),2/3,1/1,1/1,1/1,0/0
2023 Roland Garros R128,L vs Kasatkina,78% (7/9),71% (5/7),3/6,80% (8/10),0% (0/8),1/5,0/0,0/2,0/0,0/1
2023 Monterrey R32,L vs Dolehide,17% (1/6),0% (0/1),0/4,86% (6/7),0% (0/6),0/0,0/0,0/2,0/0,0/1
2023 Australian Open R128,L vs Swiatek,18% (2/11),50% (1/2),0/1,36% (4/11),25% (1/4),1/1,0/1,0/2,0/0,0/1
2022 US Open R16,L vs Swiatek,58% (7/12),71% (5/7),2/5,67% (8/12),13% (1/8),2/5,1/1,0/2,0/0,0/1
2022 US Open R32,W vs Zheng,45% (5/11),60% (3/5),0/2,27% (3/11),33% (1/3),2/3,1/1,2/2,0/0,0/0
2022 US Open R64,W vs Putintseva,60% (6/10),67% (4/6),0/1,11% (1/9),0% (0/1),3/3,1/1,0/0,0/0,0/0
2022 US Open R128,W vs Kenin,55% (6/11),50% (3/6),0/2,36% (4/11),50% (2/4),2/3,1/1,0/0,1/1,0/0
2022 Wimbledon QF,L vs Maria,33% (5/15),60% (3/5),0/3,33% (5/15),0% (0/5),2/3,1/1,1/3,0/0,1/2
2022 Wimbledon R16,W vs Watson,56% (5/9),80% (4/5),1/1,11% (1/9),0% (0/1),4/4,2/2,0/0,1/1,0/0
2022 Wimbledon R32,W vs Tsurenko,86% (12/14),92% (11/12),6/9,79% (11/14),9% (1/11),4/9,0/1,0/1,0/1,0/0
2025 (2 matches),,36.4%,87.5%,20.0%,60.9%,7.1%,28.6%,33.3%,25.0%,0.0%,50.0%
2024 (5 matches),,47.9%,73.9%,33.3%,44.9%,36.4%,84.6%,66.7%,66.7%,50.0%,50.0%
2023 (6 matches),,47.1%,53.1%,28.6%,50.0%,19.4%,60.0%,66.7%,42.9%,100.0%,0.0%
2022 (10 matches),,52.8%,71.9%,36.0%,35.8%,20.5%,71.1%,84.6%,40.0%,80.0%,25.0%
2021 (3 matches),,50.0%,92.9%,100.0%,15.4%,25.0%,90.9%,100.0%,-,100.0%,-
Career (40 matches),,49.3%,70.1%,32.8%,42.4%,22.7%,69.4%,74.4%,43.2%,66.7%,25.0%
