Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2017 ITF Shenzhen SF,L vs Sabalenka,0.0%,-,3.3%,100.0%,24.1%,41.7%,0.0%,12.0%,40.0%,1.2%,100.0%,107,50
2017 ITF Perth R32,L vs Aiava,0.0%,-,10.7%,42.9%,8.7%,18.8%,20.0%,0.0%,0.0%,0.0%,-,-3,-1
Career (2 matches),,0.0%,-,7.6%,52.9%,11.5%,25.0%,16.7%,3.2%,15.4%,0.3%,100.0%,27,15
