Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Ostrava R32,W vs Valdmannova,27.5%,33.3%,42.4%,27.3%,30.3%,45.8%,41.2%,18.8%,33.3%,35.7%,50.0%,33.3%,16.7%,62.5%,50.0%,164
2025 Wuhan R32,L vs Sabalenka,30.9%,43.2%,41.2%,41.7%,56.3%,46.4%,47.6%,37.0%,50.0%,17.9%,28.6%,34.8%,6.3%,75.0%,100.0%,56
2025 Prague R16,L vs Valentova,21.6%,29.5%,45.3%,22.7%,34.1%,41.2%,40.0%,25.0%,40.0%,23.1%,28.2%,50.0%,5.9%,63.6%,100.0%,33
2025 Roland Garros R128,L vs Swiatek,22.7%,31.8%,40.0%,28.2%,38.5%,35.7%,40.0%,36.8%,16.7%,15.4%,23.1%,45.5%,27.3%,13.3%,0.0%,-59
2025 Doha R16,L vs Rybakina,15.7%,20.0%,40.4%,27.0%,35.1%,51.9%,47.1%,30.0%,0.0%,3.2%,3.2%,30.0%,25.0%,66.7%,75.0%,-84
2025 Doha R32,W vs Andreeva,20.8%,32.3%,47.8%,22.7%,34.8%,52.9%,56.7%,19.4%,0.0%,21.7%,34.8%,33.3%,0.0%,61.5%,75.0%,80
2025 Australian Open R64,L vs Swiatek,23.7%,31.6%,32.0%,26.3%,36.8%,35.7%,66.7%,20.0%,0.0%,26.7%,33.3%,27.3%,0.0%,75.0%,50.0%,123
2024 BJK Cup Finals RR,L vs Paolini,25.0%,29.5%,23.3%,27.6%,34.5%,28.6%,68.8%,38.5%,60.0%,25.0%,25.0%,11.1%,20.0%,28.6%,50.0%,111
2024 Jiangxi F,L vs Golubic,18.2%,26.1%,45.7%,27.1%,37.3%,55.8%,56.7%,31.0%,42.9%,0.0%,3.7%,29.6%,0.0%,73.7%,100.0%,-119
2024 Hua Hin F,W vs Siegemund,16.9%,30.5%,62.8%,15.4%,35.9%,66.7%,33.3%,27.8%,100.0%,28.6%,28.6%,50.0%,0.0%,66.7%,-,111
2024 Monastir F,L vs Kartal,9.9%,14.1%,34.4%,13.2%,21.1%,36.4%,43.8%,63.6%,75.0%,6.1%,6.1%,32.3%,11.1%,93.3%,100.0%,-104
2024 Rome R64,W vs Boulter,17.8%,27.7%,51.2%,21.3%,29.5%,52.1%,37.5%,48.6%,40.0%,12.8%,25.6%,50.0%,5.3%,50.0%,50.0%,-74
2024 Rome R128,W vs Pedone,9.5%,28.6%,70.3%,7.1%,32.1%,69.2%,50.0%,14.3%,-,15.4%,23.1%,72.7%,0.0%,42.9%,100.0%,-18
2023 ITF Murska Sobota R32,W vs Klimovicova,22.4%,32.7%,63.2%,26.7%,36.7%,59.1%,42.9%,12.5%,0.0%,15.8%,26.3%,68.8%,12.5%,63.6%,-,-104
2020 Australian Open Q1,L vs Inglis,16.3%,28.5%,49.5%,22.2%,32.1%,49.2%,45.5%,62.5%,25.0%,5.0%,22.5%,50.0%,6.3%,66.7%,66.7%,-64
2019 Fed Cup RR,L vs Ostapenko,29.1%,33.9%,35.7%,29.7%,37.5%,46.7%,50.0%,41.7%,44.4%,31.6%,33.3%,23.1%,13.8%,35.7%,0.0%,11
2016 ITF Biarritz QF,W vs Witthoeft,34.1%,50.0%,64.3%,44.4%,66.7%,80.0%,42.9%,27.3%,-,28.0%,40.0%,55.6%,0.0%,53.8%,-,-57
Last 52 Weeks (4 matches),,25.5%,34.6%,42.4%,30.5%,40.9%,42.1%,42.3%,30.2%,33.3%,21.5%,29.9%,42.9%,12.0%,52.6%,57.1%,44
Career (17 matches),,21.2%,30.4%,46.0%,25.0%,36.0%,49.8%,47.5%,36.4%,39.7%,17.4%,24.6%,40.4%,9.6%,58.1%,63.8%,13
