Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Ostrava R32,W vs Valdmannova,77.3%,69.0%,9.3%,4/3,2.78,24.2%,81.4%,65.7%,9.3%,2.83,33.3%,82.1%,73.9%,10.7%,2.64,0.0%
2025 Wuhan R32,L vs Sabalenka,62.8%,52.5%,7.4%,3/4,2.68,15.7%,61.4%,57.1%,3.5%,2.89,25.0%,72.7%,45.8%,15.2%,2.42,4.3%
2025 Prague R16,L vs Valentova,75.6%,50.0%,4.4%,2/2,2.50,6.3%,74.5%,48.8%,1.8%,2.16,8.8%,81.8%,51.9%,9.1%,2.89,3.3%
2025 Roland Garros R128,L vs Swiatek,74.5%,39.0%,10.9%,2/4,2.59,2.0%,70.3%,42.3%,8.1%,2.56,3.6%,100.0%,33.3%,20.0%,2.64,0.0%
2025 Doha R16,L vs Rybakina,64.3%,44.4%,16.1%,5/4,2.74,1.8%,60.0%,16.7%,3.3%,2.90,3.7%,75.0%,72.2%,33.3%,2.60,0.0%
2025 Doha R32,W vs Andreeva,70.1%,63.2%,7.2%,2/5,2.30,11.8%,66.7%,59.1%,3.0%,2.25,16.0%,85.7%,70.8%,17.9%,2.42,0.0%
2025 Australian Open R64,L vs Swiatek,78.4%,24.1%,5.4%,1/1,2.29,4.0%,72.2%,23.1%,5.6%,2.27,7.1%,94.1%,25.0%,5.9%,2.31,0.0%
2024 BJK Cup Finals RR,L vs Paolini,57.1%,60.7%,10.2%,3/2,2.59,6.7%,45.2%,64.3%,6.5%,2.28,9.5%,82.4%,57.1%,17.6%,3.32,0.0%
2024 Jiangxi F,L vs Golubic,75.7%,39.6%,2.9%,0/2,2.31,20.0%,76.0%,39.5%,0.0%,2.16,32.6%,83.3%,40.0%,11.1%,2.54,0.0%
2024 Hua Hin F,W vs Siegemund,76.5%,57.7%,2.9%,1/1,2.50,53.5%,79.1%,58.8%,2.3%,2.37,60.6%,78.3%,55.6%,4.3%,2.92,30.0%
2024 Monastir F,L vs Kartal,79.5%,53.4%,1.4%,1/0,2.56,9.4%,74.5%,45.7%,0.0%,2.41,15.2%,95.8%,65.2%,4.2%,2.73,3.2%
2024 Rome R64,W vs Boulter,70.7%,50.9%,12.0%,7/2,2.45,7.3%,73.0%,40.7%,13.5%,2.37,8.3%,83.9%,61.5%,12.9%,2.55,5.9%
2024 Rome R128,W vs Pedone,98.5%,56.1%,1.5%,1/0,2.55,8.6%,100.0%,49.0%,2.0%,2.71,12.5%,94.4%,76.5%,0.0%,2.19,0.0%
2023 ITF Murska Sobota R32,W vs Klimovicova,76.2%,60.4%,3.2%,2/0,2.24,2.6%,78.8%,61.5%,3.0%,2.37,4.5%,81.5%,59.1%,3.7%,2.07,0.0%
2020 Australian Open Q1,L vs Inglis,67.0%,49.2%,4.5%,2/2,2.55,3.2%,78.0%,53.8%,4.0%,2.66,4.9%,64.5%,40.0%,6.5%,2.38,0.0%
2019 Fed Cup RR,L vs Ostapenko,64.5%,45.1%,4.5%,3/2,2.66,9.5%,65.5%,47.4%,3.4%,2.46,17.8%,78.6%,42.4%,7.1%,2.90,0.0%
2016 ITF Biarritz QF,W vs Witthoeft,69.4%,60.0%,4.2%,1/2,2.49,3.6%,74.5%,61.0%,1.8%,2.14,10.0%,69.2%,55.6%,15.4%,2.68,0.0%
Last 52 Weeks (4 matches),,72.0%,53.5%,7.6%,45.8%,2.61,10.6%,71.4%,54.0%,5.2%,2.58,16.7%,81.7%,52.8%,12.8%,2.67,2.4%
Career (17 matches),,72.4%,52.4%,6.1%,52.6%,2.52,10.7%,72.9%,50.8%,3.8%,2.46,16.5%,81.5%,54.9%,11.1%,2.60,2.2%
