Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),1032,17,,,,,,,,,1353,17,,
2025,718,52,,,,,,,,,631,101
2024,200,346,239,1483,310,1380,198,1470,,,458,144
2023,265,284,239,1468,291,1348,193,1476,202,1376,,
2022,295,209,,,,,,,,,,
2021,277,249,285,1339,279,1309,267,1317,208,1326,,
2020,237,276,,,,,,,,,230,358
2019,296,192,305,1329,,,288,1295,,,332,215
2018,286,168,,,,,,,,,369,150
2017,380,106,,,,,,,,,465,104
2016,403,88,,,,,,,,,360,144
2015,288,151,,,,,,,,,445,99
2014,474,58,,,,,,,,,372,121
2013,531,62,,,,,,,,,575,72
2012,687,30,,,,,,,,,,
2011,,,,,,,,,,,737,34
