Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,10,4,6,40.0%,9-13,40.9%,99-101,49.5%,0-1,0.0%,10,71.9%,34.7%,2.4%,2.5%,66.9%,64.8%,46.7%,58.8%,44.4%,51.6%,1.08,QF (W75 Bellinzona)
2024,70,52,18,74.3%,108-53,67.1%,817-605,57.5%,6-6,50.0%,4,55.6%,30.6%,2.1%,3.4%,59.7%,56.7%,49.5%,53.8%,40.9%,47.4%,0.89,W (3x)
2023,48,29,19,60.4%,61-49,55.5%,533-502,51.5%,7-4,63.6%,2,45.0%,40.9%,0.0%,2.4%,73.0%,52.2%,35.3%,47.6%,46.9%,47.3%,0.90,W (3x)
2022,52,28,24,53.8%,67-52,56.3%,584-517,53.0%,7-4,63.6%,0,,,,,,,,,,,,W (W25 Koksijde)
2021,28,10,18,35.7%,27-39,40.9%,271-314,46.3%,1-3,25.0%,0,,,,,,,,,,,,SF (W25 Grenoble)
2020,27,17,10,63.0%,32-25,56.1%,280-245,53.3%,4-4,50.0%,5,58.0%,54.9%,2.4%,5.5%,68.0%,57.8%,45.7%,54.0%,51.4%,52.6%,1.12,W (W25 Daytona Beach FL)
2019,47,24,23,51.1%,55-53,50.9%,507-491,50.8%,5-6,45.5%,0,,,,,,,,,,,,F (W25 RibaRoja de Turia)
2018,49,28,21,57.1%,60-49,55.0%,538-480,52.8%,5-8,38.5%,0,,,,,,,,,,,,W (RibaRoja de Turia $25K)
2017,76,50,26,65.8%,108-61,63.9%,855-646,57.0%,10-10,50.0%,0,,,,,,,,,,,,F (4x)
2016,38,17,21,44.7%,41-47,46.6%,370-410,47.4%,7-2,77.8%,0,,,,,,,,,,,,SF (Sofia $25K)
2015,58,35,23,60.3%,81-56,59.1%,679-600,53.1%,7-6,53.8%,0,,,,,,,,,,,,W (2x)
2014,61,36,25,59.0%,82-59,58.2%,674-573,54.0%,5-5,50.0%,0,,,,,,,,,,,,W (Sharm El Sheikh 10K)
2013,45,29,16,64.4%,61-37,62.2%,488-376,56.5%,3-2,60.0%,0,,,,,,,,,,,,W (2x)
2012,16,10,6,62.5%,21-16,56.8%,179-167,51.7%,2-0,100.0%,0,,,,,,,,,,,,W (Antalya 10K)
2011,4,0,4,0.0%,1-8,11.1%,24-52,31.6%,0-0,-,0,,,,,,,,,,,,R32 (4x)
Career,629,369,260,58.7%,814-617,56.9%,6898-6079,53.2%,69-61,53.1%,21,62.6%,39.7%,2.1%,3.4%,66.5%,60.3%,46.2%,55.5%,46.0%,50.7%,1.03,
