Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,157,68,89,43.3%,155-185,45.6%,1465-1546,48.7%,17-12,58.6%,13,-,-,0.3%,4.9%,70.3%,57.1%,43.2%,53.0%,45.5%,49.3%,0.97
Clay,69,26,43,37.7%,67-90,42.7%,678-724,48.4%,2-8,20.0%,6,-,-,0.5%,4.0%,73.3%,52.7%,45.4%,50.7%,45.5%,48.1%,0.92
Grass,43,24,19,55.8%,50-44,53.2%,431-408,51.4%,4-3,57.1%,7,-,-,0.2%,2.8%,73.6%,56.2%,42.7%,52.6%,38.3%,45.3%,0.81
Carpet,4,0,4,0.0%,1-8,11.1%,24-52,31.6%,0-0,-,0,,,,,,,,,,,
Grand Slams,55,20,35,36.4%,46-73,38.7%,481-564,46.0%,4-6,40.0%,16,-,-,0.2%,3.7%,72.8%,55.8%,42.5%,52.1%,43.3%,47.7%,0.90
Premiers,67,22,45,32.8%,55-93,37.2%,593-706,45.7%,3-5,37.5%,5,-,-,0.9%,5.2%,69.9%,55.7%,39.8%,50.9%,39.9%,45.7%,0.81
Internationals,68,32,36,47.1%,74-81,47.7%,713-726,49.5%,10-7,58.8%,5,-,-,0.3%,4.3%,71.0%,56.2%,49.6%,54.3%,46.3%,50.2%,1.01
Finals,1,1,0,100.0%,2-1,66.7%,15-7,68.2%,0-0,-,0,,,,,,,,,,,
Semi-finals,4,1,3,25.0%,3-6,33.3%,33-47,41.3%,0-1,0.0%,0,,,,,,,,,,,
Quarter-finals,18,4,14,22.2%,11-26,29.7%,144-197,42.2%,0-1,0.0%,0,,,,,,,,,,,
vs Righties,230,92,138,40.0%,216-292,42.5%,2147-2392,47.3%,20-22,47.6%,26,-,-,0.3%,4.1%,71.9%,55.8%,43.6%,52.4%,43.4%,47.9%,0.91
vs Lefties,25,13,12,52.0%,31-25,55.4%,262-225,53.8%,1-1,50.0%,0,,,,,,,,,,,
vs Top 10,17,1,16,5.9%,5-31,13.9%,101-200,33.6%,0-0,-,1,-,-,0.0%,9.5%,38.1%,25.0%,23.1%,23.8%,27.8%,25.6%,0.36
