Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,128,40,88,31.3%,119-219,35.2%,1492-1805,45.3%,23-33,41.1%,126,74.0%,16.7%,7.0%,4.2%,58.8%,69.4%,48.8%,60.9%,33.9%,47.6%,0.87
Clay,24,6,18,25.0%,18-45,28.6%,286-367,43.8%,6-10,37.5%,24,74.4%,14.0%,5.9%,3.3%,59.6%,68.2%,51.8%,61.6%,32.6%,47.3%,0.85
Grass,52,26,26,50.0%,73-77,48.7%,747-728,50.6%,9-11,45.0%,52,78.1%,23.6%,7.2%,4.3%,56.3%,70.9%,53.6%,63.4%,37.7%,50.4%,1.03
Grand Slams,47,17,30,36.2%,74-108,40.7%,841-935,47.4%,13-16,44.8%,47,75.2%,19.6%,7.4%,4.4%,57.7%,69.5%,50.9%,61.6%,35.6%,48.7%,0.93
Masters,26,7,19,26.9%,20-45,30.8%,285-361,44.1%,5-11,31.3%,26,72.0%,17.6%,5.9%,3.6%,59.7%,68.2%,48.6%,60.3%,34.3%,47.3%,0.86
Other Tours,130,47,83,36.2%,114-188,37.7%,1387-1596,46.5%,20-27,42.6%,129,75.8%,17.6%,6.9%,4.0%,58.2%,70.0%,50.7%,62.0%,34.4%,48.3%,0.90
Best of 5,47,17,30,36.2%,74-108,40.7%,841-935,47.4%,13-16,44.8%,47,75.2%,19.6%,7.4%,4.4%,57.7%,69.5%,50.9%,61.6%,35.6%,48.7%,0.93
Best of 3,157,55,102,35.0%,136-233,36.9%,1684-1965,46.1%,25-38,39.7%,155,75.1%,17.6%,6.7%,3.9%,58.5%,69.7%,50.4%,61.7%,34.3%,48.1%,0.90
Semi-finals,2,0,2,0.0%,1-4,20.0%,24-31,43.6%,0-1,0.0%,2,81.5%,7.4%,8.5%,4.2%,64.2%,73.6%,54.2%,66.7%,24.3%,46.4%,0.73
Quarter-finals,7,2,5,28.6%,5-10,33.3%,62-79,44.0%,1-0,100.0%,7,66.7%,21.1%,6.6%,5.3%,54.6%,66.1%,46.2%,57.1%,37.0%,47.1%,0.86
vs Righties,173,59,114,34.1%,172-296,36.8%,2131-2495,46.1%,32-47,40.5%,171,75.2%,17.2%,6.9%,4.1%,57.9%,69.9%,50.6%,61.7%,34.2%,48.1%,0.89
vs Lefties,31,13,18,41.9%,38-45,45.8%,394-405,49.3%,6-7,46.2%,31,74.6%,24.2%,7.3%,3.7%,60.2%,68.2%,50.5%,61.1%,38.0%,49.6%,0.98
vs Top 10,14,0,14,0.0%,5-35,12.5%,156-239,39.5%,1-6,14.3%,14,70.5%,10.2%,5.9%,5.1%,57.6%,67.4%,45.1%,57.9%,28.9%,44.3%,0.69
