Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2021 Orlando CH F,L vs Brooksby,85.4%,34.1%,6.3%,2/1,2.41,5.1%,84.6%,27.3%,2.6%,2.43,9.1%,100.0%,62.5%,25.0%,2.38,0.0%
2021 Miami R64,L vs Hurkacz,53.7%,44.4%,6.0%,1/3,2.55,4.2%,47.6%,35.0%,7.1%,2.56,7.7%,76.2%,56.3%,4.8%,2.55,0.0%
2019 US Open R128,W vs Tipsarevic,76.2%,54.5%,1.5%,2/0,2.12,17.4%,69.1%,53.6%,0.0%,2.07,28.9%,93.5%,55.8%,4.3%,2.18,3.2%
2019 Winston Salem R64,L vs Haase,55.6%,40.0%,2.8%,1/1,2.30,7.1%,31.6%,50.0%,2.6%,2.50,12.5%,96.6%,35.7%,3.4%,2.19,3.8%
2019 Wimbledon R64,L vs Djokovic,57.5%,45.2%,2.7%,1/1,2.61,31.6%,50.0%,41.7%,2.1%,2.66,48.6%,81.8%,50.0%,4.5%,2.53,0.0%
2019 Stuttgart QF,L vs Berrettini,55.3%,34.6%,0.0%,0/0,2.17,19.6%,48.3%,21.4%,0.0%,1.81,36.0%,70.6%,50.0%,0.0%,2.57,0.0%
2019 Dubai R16,L vs Berankis,82.4%,38.1%,11.8%,5/1,2.36,11.9%,80.0%,37.5%,3.3%,2.46,16.7%,85.7%,38.9%,23.8%,2.22,5.6%
2018 Tokyo R32,L vs Gasquet,68.9%,47.1%,1.4%,1/0,1.93,29.5%,59.1%,53.8%,0.0%,2.02,41.7%,83.3%,40.0%,3.3%,1.83,15.0%
2018 US Open R64,L vs Del Potro,49.3%,37.8%,1.3%,1/0,2.15,27.8%,40.0%,36.4%,1.8%,2.15,48.0%,78.9%,40.0%,0.0%,2.16,10.3%
2018 Halle SF,L vs Federer,62.7%,36.2%,8.0%,3/3,1.99,53.1%,58.0%,27.6%,2.0%,1.78,67.9%,81.8%,50.0%,22.7%,2.28,33.3%
2018 Halle R16,W vs Tsitsipas,66.1%,53.7%,3.2%,2/0,2.35,12.1%,66.7%,40.9%,0.0%,1.64,36.4%,73.1%,68.4%,7.7%,2.70,0.0%
2016 Charlottesville CH R32,W vs Paul,74.5%,62.9%,2.1%,0/1,2.28,8.7%,76.5%,69.2%,0.0%,2.55,20.0%,81.5%,59.1%,3.7%,2.08,0.0%
2016 Houston R32,W vs Zverev,79.6%,48.7%,0.0%,0/0,2.38,1.3%,77.8%,45.2%,0.0%,2.11,2.9%,85.7%,52.8%,0.0%,2.61,0.0%
2016 Delray Beach R32,L vs Del Potro,56.5%,19.2%,0.0%,0/0,2.58,38.5%,44.0%,18.2%,0.0%,2.56,52.9%,100.0%,20.0%,0.0%,2.61,11.1%
2015 Sacramento CH QF,W vs Brands,63.6%,69.0%,0.0%,0/0,2.25,51.6%,59.5%,64.0%,0.0%,2.26,61.1%,85.0%,76.5%,0.0%,2.23,38.5%
2015 Surbiton CH SF,W vs Klein,61.4%,51.4%,1.8%,0/1,2.29,37.9%,54.3%,42.1%,2.9%,2.38,62.5%,80.0%,62.5%,0.0%,2.19,7.7%
2015 Indian Wells R128,L vs Kyrgios,63.3%,36.8%,5.0%,2/1,2.28,4.5%,57.9%,27.3%,7.9%,2.38,7.1%,72.7%,50.0%,0.0%,2.13,0.0%
2014 Winnetka CH F,W vs Dustov,82.8%,66.7%,1.7%,1/0,2.54,18.9%,77.5%,64.5%,2.5%,2.44,38.9%,94.4%,70.6%,0.0%,2.64,0.0%
Career (18 matches),,66.7%,47.1%,2.9%,62.9%,2.30,20.0%,60.1%,43.4%,1.9%,2.26,32.4%,84.5%,51.8%,4.9%,2.35,6.2%
