Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
1989,,,,,,,,,,,276,0,,
1988,1054,,,,,,,,,,997,,,
1987,,,,,,,,,,,909,0,,
1986,,,,,,,,,,,870,0,,
1985,431,,,,,,,,,,199,,,
1984,202,,120,1675,99,1638,82,1686,,,77,,,
1983,,,107,1708,88,1668,72,1722,54,1690,,,,
1982,,,101,1727,77,1695,69,1737,48,1705,,,,
1981,74,,62,1810,39,1773,42,1815,36,1772,,,,
1980,77,,49,1853,37,1800,28,1884,23,1840,,,,
1979,49,,33,1912,23,1862,22,1931,,,,,,
1978,16,,10,2019,8,1966,12,2003,7,1987,,,,
1977,9,,5,2129,4,2078,4,2104,4,2057,,,,
1976,3,,3,2216,2,2131,3,2179,3,2112,,,,
1975,7,,3,2196,2,2091,2,2168,3,2062,,,,
1974,10,,3,2187,3,2070,2,2182,3,2075,,,,
1973,1,,1,2236,2,2103,1,2225,2,2121,,,,
