Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2022-04-11),1306,4,,,,,,,,,,,,
2020,1009,10,,,,,,,,,,,,
2019,721,25,,,,,,,,,,,,
2018,400,33,,,,,,,,,564,20,,
2018,400,33,,,,,,,,,564,20,,
2017,246,211,252,1453,223,1441,219,1438,,,295,197,,
2016,123,491,193,1535,184,1497,153,1525,,,251,285,,
2015,142,422,208,1500,187,1483,185,1483,232,1353,113,692,76,1601
2014,90,593,130,1632,141,1557,103,1618,177,1429,264,267,,
2013,140,406,160,1591,185,1497,136,1576,,,124,573,,
2012,144,385,189,1542,216,1441,155,1536,,,72,1036,,
2011,104,556,170,1573,193,1480,131,1576,,,212,311,,
2010,111,517,233,1491,236,1418,194,1494,217,1384,186,380,,
2009,199,240,245,1482,236,1433,218,1465,223,1385,196,341,,
2008,212,191,222,1500,271,1381,194,1494,199,1409,248,230,,
2007,313,116,333,1312,323,1280,309,1286,,,341,158,,
2006,638,32,,,,,,,,,588,61,,
2005,907,11,,,,,,,,,923,20,,
