Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2000,49,648,35,1879,33,1835,44,1775,28,1741,,,,
1999,30,836,34,1931,29,1867,42,1805,30,1755,,,,
1998,48,559,52,1835,46,1787,50,1750,31,1723,,,,
1997,16,1438,24,1987,21,1909,24,1887,17,1821,,,,
1996,21,1096,20,1985,19,1902,24,1889,21,1781,,,,
1995,31,44,23,1951,23,1883,21,1903,44,1684,,,,
1994,27,55,27,1953,22,1901,24,1867,40,1701,,,,
1993,36,40,25,1959,23,1888,26,1864,26,1764,,,,
1992,26,39,20,2015,11,1963,19,1913,27,1755,,,,
1991,18,50,17,1990,16,1936,25,1839,22,1741,,,,
1990,22,35,65,1789,52,1715,60,1703,,,,,,
1989,144,7,136,1642,141,1561,100,1621,,,,,,
1988,196,3,109,1655,105,1591,113,1572,,,,,,
1987,283,,,,,,,,,,,,,
