Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,243,147,96,60.5%,312-207,60.1%,2505-2151,53.8%,19-21,47.5%,0,,,,,,,,,,,
Clay,120,65,55,54.2%,142-119,54.4%,1213-1129,51.8%,11-12,47.8%,0,,,,,,,,,,,
Grass,39,22,17,56.4%,46-35,56.8%,391-354,52.5%,2-4,33.3%,0,,,,,,,,,,,
Carpet,118,69,49,58.5%,143-106,57.4%,1198-1053,53.2%,10-14,41.7%,0,,,,,,,,,,,
Grand Slams,102,58,44,56.9%,121-99,55.0%,1029-931,52.5%,4-9,30.8%,0,,,,,,,,,,,
Premiers,24,10,14,41.7%,23-31,42.6%,251-278,47.4%,6-3,66.7%,0,,,,,,,,,,,
Internationals,9,5,4,55.6%,13-10,56.5%,117-110,51.5%,0-2,0.0%,0,,,,,,,,,,,
Finals,12,7,5,58.3%,14-12,53.8%,117-117,50.0%,2-1,66.7%,0,,,,,,,,,,,
Semi-finals,24,12,12,50.0%,26-25,51.0%,240-245,49.5%,3-1,75.0%,0,,,,,,,,,,,
Quarter-finals,60,24,36,40.0%,63-67,48.5%,580-597,49.3%,5-13,27.8%,0,,,,,,,,,,,
vs Righties,370,203,167,54.9%,433-354,55.0%,3679-3456,51.6%,34-41,45.3%,0,,,,,,,,,,,
vs Lefties,31,15,16,48.4%,35-36,49.3%,326-312,51.1%,0-2,0.0%,0,,,,,,,,,,,
vs Top 10,65,11,54,16.9%,31-107,22.5%,465-754,38.1%,2-6,25.0%,0,,,,,,,,,,,
