Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2024,,,,,,,,,,,190,370,,
2021,951,14,,,,,,,,,,,,
2020,774,23,,,,,,,,,84,1008,,
2019,741,23,,,,,,,,,169,413,,
2017,588,48,,,,,,,,,436,128,,
2016,229,230,250,1466,215,1461,216,1451,223,1368,156,480,,
2015,206,241,182,1558,153,1548,168,1520,,,175,421,117,1525
2014,74,691,96,1690,90,1647,88,1659,151,1495,74,975,100,1558
2013,82,620,110,1665,99,1623,104,1627,,,181,389,,
2012,161,342,199,1535,158,1540,183,1502,,,241,280,,
2011,147,356,157,1593,129,1581,139,1561,176,1452,201,320,127,1473
2010,36,1135,47,1817,50,1746,45,1784,78,1582,130,620,94,1576
2009,133,407,118,1657,98,1621,147,1554,119,1518,270,231,,
2008,89,488,93,1704,74,1689,164,1541,102,1547,542,80,,
2007,177,239,169,1576,131,1560,207,1472,129,1517,389,131,,
2006,305,124,,,,,,,,,510,81,,
2005,391,75,,,,,,,,,552,65,,
2004,651,25,,,,,,,,,1065,15,,
2003,1212,3,,,,,,,,,1314,7,,
