Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,14,5,9,35.7%,5,1,4,20.0%,2009,2017,R64,12,0.88,5.0%,4.1%,60.3%,63.1%,50.9%,58.3%,36.9%,61.7%,43.9%
Roland Garros,8,Clay,14,5,9,35.7%,4,2,2,50.0%,2009,2016,R64,11,0.92,3.7%,3.7%,62.5%,67.9%,49.6%,61.0%,36.0%,47.7%,36.0%
Wimbledon,5,Grass,5,0,5,0.0%,3,0,3,0.0%,2009,2016,R128,4,0.64,3.5%,3.0%,63.2%,62.7%,46.2%,56.6%,27.6%,59.1%,45.5%
US Open,9,Hard,14,5,9,35.7%,5,2,3,40.0%,2008,2016,R64,11,0.92,4.5%,5.3%,52.2%,70.8%,47.3%,59.6%,37.2%,55.3%,39.5%
Davis Cup,8,,23,16,7,69.6%,13,9,4,69.2%,2008,2015,,0,,,,,,,,,,
Miami Masters,6,Hard,11,5,6,45.5%,4,4,0,100.0%,2009,2015,R128,9,0.90,5.5%,4.7%,55.8%,69.1%,52.1%,61.6%,34.7%,59.0%,44.2%
St. Petersburg,5,Hard,13,8,5,61.5%,3,1,2,33.3%,2008,2015,F,10,0.99,7.8%,3.1%,59.4%,69.3%,54.4%,63.2%,36.4%,64.3%,36.4%
Rome Masters,5,Clay,11,6,5,54.5%,3,2,1,66.7%,2009,2014,R32,10,1.02,5.0%,4.0%,60.5%,70.1%,50.2%,62.2%,38.6%,61.1%,42.4%
Indian Wells Masters,5,Hard,10,5,5,50.0%,5,4,1,80.0%,2011,2015,R64,10,0.96,5.4%,3.7%,58.2%,68.7%,55.5%,63.2%,35.4%,63.9%,30.6%
Moscow,4,Hard,13,9,4,69.2%,1,0,1,0.0%,2009,2013,QF,13,1.28,6.1%,2.4%,65.7%,74.8%,56.5%,68.5%,40.2%,68.0%,46.5%
Hamburg,4,Clay,11,8,3,72.7%,2,1,1,50.0%,2010,2014,W,11,1.20,5.3%,2.3%,61.2%,72.7%,55.2%,65.9%,41.0%,72.3%,43.6%
