Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2015 Scheveningen CH R32,L vs Nedovyesov,32,36,0.9,21.1%,23.7%,25,30,0.8,18.8%,22.6%,12.8%,3.8%,0.6,11.2%,19.7%
2014 US Open R128,L vs Fognini,27,35,0.8,14.8%,19.1%,23,29,0.8,13.9%,17.6%,12.1%,1.8%,1.6,12.6%,7.7%
2014 Wimbledon R128,L vs Djokovic,15,22,0.7,10.1%,14.8%,14,19,0.7,10.1%,13.8%,5.8%,4.3%,2.4,22.8%,9.4%
2014 Roland Garros R128,L vs Murray,35,59,0.6,15.2%,25.5%,33,54,0.6,15.3%,25.0%,11.6%,3.7%,0.6,8.2%,14.7%
2014 Madrid Masters R64,L vs Almagro,41,50,0.8,16.8%,20.5%,33,48,0.7,14.6%,21.2%,9.7%,4.9%,0.6,10.2%,16.8%
2014 Australian Open R128,L vs Wawrinka,8,15,0.5,8.8%,16.5%,8,15,0.5,9.3%,17.4%,,,2.1,25.3%,12.1%
2012 Australian Open R64,L vs Gasquet,27,27,1.0,19.0%,19.0%,23,22,1.0,18.0%,17.2%,,,3.3,23.2%,7.0%
2011 US Open R128,L vs Nadal,41,59,0.7,19.0%,27.3%,34,52,0.7,17.7%,27.1%,13.0%,4.7%,1.1,8.3%,7.4%
2010 Kuala Lumpur F,L vs Youzhny,26,50,0.5,12.5%,24.0%,22,48,0.5,11.2%,24.4%,8.6%,2.0%,0.6,12.0%,19.2%
2010 Hamburg F,W vs Melzer,26,20,1.3,20.3%,15.6%,19,17,1.1,16.5%,14.8%,12.2%,4.3%,0.5,7.8%,16.4%
2008 St. Petersburg F,L vs Murray,14,27,0.5,15.6%,30.0%,13,25,0.5,15.3%,29.4%,14.1%,1.2%,1.2,13.3%,11.1%
Career (11 matches),,292,400,0.7,15.9%,21.8%,247,359,0.7,14.7%,21.4%,9.5%,3.1%,1.0,13.0%,13.1%
