Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
7,Mikhail Youzhny [RUS],1,6,14.3%,5,1,4,20.0%,2009,2015,7,0.84,4.3%,5.0%,53.1%,64.2%,52.5%,58.8%,34.6%,58.8%,43.2%
6,Gilles Muller [LUX],4,2,66.7%,4,3,1,75.0%,2007,2014,3,1.06,10.0%,4.4%,60.0%,76.9%,65.3%,72.2%,29.5%,77.8%,23.1%
6,Florian Mayer [GER],4,2,66.7%,1,1,0,100.0%,2008,2011,4,1.04,4.2%,4.6%,58.4%,70.5%,53.5%,63.4%,38.1%,55.6%,42.1%
5,Aleksandr Nedovyesov [KAZ],3,2,60.0%,2,1,1,50.0%,2013,2017,5,1.10,7.3%,3.5%,60.8%,73.1%,61.2%,68.4%,34.9%,52.4%,47.8%
5,Andrea Arnaboldi [ITA],3,2,60.0%,4,2,2,50.0%,2006,2016,2,1.18,10.7%,3.0%,56.8%,83.3%,61.6%,74.0%,30.8%,100.0%,30.0%
5,Jeremy Chardy [FRA],2,3,40.0%,2,1,1,50.0%,2006,2015,3,0.91,6.6%,3.5%,58.8%,72.4%,42.6%,60.1%,36.2%,63.2%,60.0%
5,Evgeny Korolev [KAZ],2,3,40.0%,2,1,1,50.0%,2005,2014,2,3.02,24.6%,0.0%,60.9%,85.7%,74.1%,81.2%,57.0%,0,83.3%
5,Mikhail Kukushkin [KAZ],0,5,0.0%,3,0,3,0.0%,2007,2013,2,0.97,4.1%,0.6%,67.6%,73.0%,50.9%,65.9%,33.2%,60.0%,33.3%
5,Maximo Gonzalez [ARG],5,0,100.0%,0,0,0,-,2007,2011,4,1.24,6.2%,3.8%,59.2%,71.1%,49.6%,62.3%,46.6%,55.6%,41.5%
5,Radek Stepanek [CZE],1,4,20.0%,1,0,1,0.0%,2007,2011,4,0.88,6.0%,4.4%,58.7%,70.9%,42.3%,59.1%,35.9%,36.8%,58.3%
5,Stefano Galvani [ITA],3,2,60.0%,0,0,0,-,2005,2008,0,,,,,,,,,,
4,Matwe Middelkoop [NED],3,1,75.0%,0,0,0,-,2004,2016,3,1.95,12.3%,3.4%,66.4%,85.6%,59.2%,76.7%,45.4%,75.0%,47.8%
4,Mischa Zverev [GER],2,2,50.0%,2,1,1,50.0%,2008,2016,3,1.11,4.6%,1.9%,64.3%,72.2%,57.4%,66.9%,36.8%,66.7%,34.6%
4,Ruben Bemelmans [BEL],3,1,75.0%,1,1,0,100.0%,2009,2016,2,0.93,4.3%,3.7%,65.2%,62.3%,46.2%,56.7%,40.4%,60.9%,40.0%
4,Matteo Viola [ITA],4,0,100.0%,0,0,0,-,2006,2015,3,1.36,4.5%,3.4%,61.6%,74.3%,63.2%,70.1%,40.8%,93.8%,29.6%
