Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),880,26,,,,,,,,,,,,
2025,835,30,,,,,,,,,,,,
2024,291,177,243,1511,210,1493,195,1507,,,,,,
2021,294,181,190,1562,173,1531,148,1562,201,1434,,,,
2020,151,432,125,1613,107,1592,109,1597,,,,,,
2019,141,373,106,1694,96,1666,78,1673,140,1517,714,45,,
2018,41,1050,31,1839,34,1780,28,1799,,,245,216,,
2017,141,393,107,1684,93,1662,85,1667,,,334,170,,
2016,35,1230,60,1777,61,1721,40,1777,103,1565,219,340,87,1601
2015,43,980,53,1792,58,1726,41,1779,90,1593,101,770,92,1597
2014,34,1094,31,1867,56,1743,21,1857,59,1647,218,340,,
2013,108,518,89,1703,103,1618,65,1713,118,1550,106,745,82,1622
2012,30,1175,41,1841,53,1734,30,1809,88,1603,124,563,,
2011,117,486,137,1626,168,1523,97,1649,,,261,242,,
2010,155,346,154,1599,143,1562,186,1513,,,223,299,,
2009,234,189,272,1467,312,1356,229,1458,,,265,235,,
2008,606,37,,,,,,,,,,,,
2007,395,84,358,1361,341,1329,328,1333,,,562,68,,
2006,1152,5,,,,,,,,,1661,1,,
2005,,,,,,,,,,,1683,1,,
