Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,154,70,84,45.5%,188-209,47.4%,1887-1997,48.6%,39-41,48.8%,138,75.0%,20.9%,6.5%,5.0%,58.5%,69.4%,49.1%,61.0%,35.9%,48.7%,0.92
Clay,133,73,60,54.9%,182-159,53.4%,1669-1586,51.3%,27-20,57.4%,123,74.3%,27.7%,4.8%,3.9%,58.1%,68.3%,50.1%,60.6%,39.3%,50.2%,1.00
Grass,17,4,13,23.5%,17-31,35.4%,226-279,44.8%,5-4,55.6%,17,77.7%,13.1%,5.9%,4.1%,60.3%,70.1%,48.1%,61.4%,32.0%,47.0%,0.83
Grand Slams,46,18,28,39.1%,68-97,41.2%,757-869,46.6%,13-12,52.0%,46,73.5%,20.5%,6.1%,4.8%,58.2%,67.6%,50.2%,60.3%,36.4%,48.4%,0.92
Masters,40,10,30,25.0%,31-57,35.2%,391-485,44.6%,8-11,42.1%,40,72.2%,16.7%,5.8%,5.5%,55.6%,68.9%,46.8%,59.1%,34.4%,47.1%,0.84
Other Tours,189,100,89,52.9%,233-211,52.5%,2169-2106,50.7%,40-35,53.3%,186,75.7%,25.5%,5.7%,4.2%,58.7%,69.4%,49.8%,61.3%,37.9%,49.9%,0.98
Best of 5,66,30,36,45.5%,109-127,46.2%,1114-1192,48.3%,18-17,51.4%,48,73.7%,20.7%,5.9%,4.8%,59.0%,67.7%,49.8%,60.4%,36.4%,48.5%,0.92
Best of 3,238,117,121,49.2%,278-272,50.5%,2668-2670,50.0%,53-48,52.5%,230,75.3%,24.1%,5.7%,4.4%,58.3%,69.4%,49.3%,61.0%,37.3%,49.4%,0.96
Finals,7,6,1,85.7%,12-4,75.0%,84-50,62.7%,0-1,0.0%,7,83.6%,42.4%,5.7%,3.0%,62.3%,73.5%,53.6%,66.0%,44.1%,55.2%,1.30
Semi-finals,13,7,6,53.8%,16-16,50.0%,156-156,50.0%,3-2,60.0%,13,73.0%,27.1%,5.2%,3.8%,59.9%,68.7%,45.3%,59.3%,38.3%,49.1%,0.94
Quarter-finals,26,13,13,50.0%,29-32,47.5%,284-300,48.6%,7-2,77.8%,26,73.9%,21.6%,5.5%,3.5%,61.2%,68.4%,49.0%,60.8%,34.9%,48.6%,0.89
vs Righties,268,128,140,47.8%,341-354,49.1%,3338-3408,49.5%,64-58,52.5%,243,74.7%,23.2%,5.7%,4.4%,58.6%,68.8%,49.3%,60.7%,37.0%,49.1%,0.94
vs Lefties,35,18,17,51.4%,44-45,49.4%,432-451,48.9%,7-7,50.0%,34,76.2%,22.4%,6.1%,4.7%,58.1%,70.0%,50.1%,61.7%,36.9%,49.6%,0.96
vs Top 10,25,4,21,16.0%,21-49,30.0%,274-379,42.0%,3-4,42.9%,25,68.1%,16.1%,5.1%,4.1%,60.3%,62.7%,50.1%,57.7%,33.6%,45.9%,0.79
