Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2023-11-27),1154,10,,,,,,,,,,,,
2022,380,132,322,1332,327,1269,297,1300,,,,,,
2021,283,243,277,1366,281,1299,259,1336,215,1310,,,,
2020,189,354,165,1448,170,1312,151,1405,,,503,121,,
2019,201,297,233,1453,298,1295,217,1418,179,1413,478,120,,
2018,193,302,,,,,,,,,493,82,,
2017,315,146,,,,,,,,,458,109,,
2016,352,108,,,,,,,,,606,59,,
2015,682,29,,,,,,,,,510,78,,
2014,874,13,,,,,,,,,,,,
2013,779,24,,,,,,,,,703,45,,
2012,594,42,,,,,,,,,,,,
2010,638,36,,,,,,,,,922,14,,
2009,444,75,,,,,,,,,,,,
2008,726,16,,,,,,,,,,,,
2007,917,7,,,,,,,,,,,,
