Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2016 Seville CH QF,L vs Ruud,66.7%,40.0%,1.3%,1/0,2.25,21.7%,63.5%,33.3%,0.0%,2.25,50.0%,81.0%,52.9%,4.8%,2.25,0.0%
2016 Hamburg R16,L vs Robert,79.6%,50.0%,6.8%,1/6,2.40,1.5%,76.4%,50.0%,0.0%,2.41,3.0%,88.9%,50.0%,15.6%,2.40,0.0%
2016 Indian Wells R64,L vs Raonic,52.6%,45.0%,0.0%,0/0,2.26,19.4%,61.5%,43.8%,0.0%,2.05,20.0%,33.3%,50.0%,0.0%,2.50,18.8%
2016 Sao Paolo R16,W vs Delbonis,71.9%,46.4%,3.1%,1/2,2.56,10.7%,62.0%,45.2%,6.0%,2.73,27.3%,84.4%,47.4%,0.0%,2.46,0.0%
2016 Rio de Janeiro R16,L vs Dolgopolov,68.6%,39.6%,11.4%,2/6,2.15,27.9%,61.5%,41.7%,0.0%,2.07,50.0%,82.8%,37.5%,27.6%,2.24,4.8%
2015 Challenger Tour Finals F,W vs Munoz De La Nava,83.5%,43.2%,0.0%,0/0,2.23,17.8%,76.7%,37.0%,0.0%,1.74,50.0%,97.2%,51.4%,0.0%,2.52,0.0%
2015 Challenger Tour Finals RR,W vs Lorenzi,82.3%,52.9%,1.6%,1/0,2.18,5.1%,75.0%,38.1%,3.6%,1.80,13.3%,93.8%,63.3%,0.0%,2.42,0.0%
2015 Montevideo CH F,L vs Pella,86.3%,42.0%,2.5%,0/2,2.15,8.8%,90.0%,38.9%,3.3%,2.09,20.6%,88.2%,53.3%,0.0%,2.20,0.0%
2015 Montevideo CH SF,W vs Schwartzman,83.8%,47.4%,1.5%,1/0,2.29,5.0%,85.7%,47.6%,2.0%,2.17,11.1%,93.8%,46.7%,0.0%,2.39,0.0%
2015 Szczecin CH R32,W vs Ivanov,68.3%,58.5%,0.0%,0/0,2.28,5.0%,66.7%,50.0%,0.0%,2.38,15.4%,86.4%,68.4%,0.0%,2.22,0.0%
Career (10 matches),,75.8%,46.3%,3.1%,30.4%,2.28,11.8%,73.2%,42.3%,1.5%,2.19,25.6%,86.2%,51.9%,5.8%,2.35,1.4%
