Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,13,4,9,30.8%,10-22,31.3%,140-170,45.2%,2-5,28.6%,13,78.8%,12.5%,10.0%,6.2%,48.3%,79.1%,48.0%,63.0%,31.1%,47.3%,0.84
Clay,32,12,20,37.5%,31-47,39.7%,354-409,46.4%,5-8,38.5%,32,68.6%,24.3%,7.8%,5.4%,51.5%,68.9%,47.3%,58.5%,37.6%,48.1%,0.91
Grass,4,1,3,25.0%,3-10,23.1%,52-68,43.3%,0-2,0.0%,4,72.9%,15.3%,8.3%,4.2%,55.3%,67.6%,47.1%,58.4%,32.0%,46.0%,0.77
Grand Slams,6,1,5,16.7%,5-17,22.7%,89-118,43.0%,0-3,0.0%,6,72.5%,14.7%,8.8%,5.1%,53.4%,70.7%,44.8%,58.6%,32.6%,46.2%,0.79
Masters,6,2,4,33.3%,6-9,40.0%,72-81,47.1%,1-3,25.0%,6,77.3%,17.6%,9.1%,3.8%,50.2%,75.2%,49.6%,62.4%,34.1%,48.0%,0.91
Other Tours,37,14,23,37.8%,33-53,38.4%,385-448,46.2%,6-9,40.0%,37,70.4%,22.2%,8.2%,5.9%,50.6%,70.7%,47.8%,59.4%,36.3%,48.0%,0.90
Best of 5,6,1,5,16.7%,5-17,22.7%,89-118,43.0%,0-3,0.0%,6,72.5%,14.7%,8.8%,5.1%,53.4%,70.7%,44.8%,58.6%,32.6%,46.2%,0.79
Best of 3,43,16,27,37.2%,39-62,38.6%,457-529,46.3%,7-12,36.8%,43,71.5%,21.5%,8.3%,5.5%,50.5%,71.4%,48.1%,59.9%,36.0%,48.0%,0.90
Semi-finals,1,0,1,0.0%,0-2,0.0%,2-12,14.3%,0-0,-,1,28.6%,0.0%,6.7%,4.4%,51.1%,52.2%,36.4%,44.4%,26.2%,35.6%,0.47
Quarter-finals,1,1,0,100.0%,2-1,66.7%,15-16,48.4%,1-0,100.0%,1,80.0%,13.3%,7.1%,6.1%,49.0%,79.2%,56.0%,67.3%,34.4%,51.0%,1.05
vs Righties,42,12,30,28.6%,34-73,31.8%,465-577,44.6%,4-14,22.2%,42,70.6%,19.4%,8.0%,5.2%,51.6%,70.4%,46.9%,59.0%,34.9%,47.1%,0.85
vs Lefties,7,5,2,71.4%,10-6,62.5%,81-70,53.6%,3-1,75.0%,7,79.5%,27.0%,10.8%,7.0%,47.2%,77.6%,50.9%,63.5%,38.8%,51.4%,1.06
