Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2019 M25 Denia R16,L vs Sanchez Jover,43% (3/7),75% (3/4),0/0,0/0,50% (6/12),0/2,0/1,- (0/0),- (0/0)
2019 M25 Denia R32,W vs Gaston,73% (8/11),45% (5/11),2/4,1/2,0% (0/3),0/0,0/0,- (0/0),- (0/0)
2018 Rome CH R32,L vs Olivo,25% (3/12),20% (1/5),0/0,0/0,64% (9/14),1/3,0/1,- (0/0),- (0/0)
2018 Barcelona Q1,L vs Andujar,50% (3/6),100% (1/1),0/0,0/0,44% (4/9),1/3,1/2,- (0/0),- (0/0)
2017 Lima CH R32,L vs Kovalik,73% (11/15),27% (3/11),1/1,0/0,55% (6/11),0/2,0/1,60% (3/5),67% (4/6)
2017 Cali CH R16,L vs Delbonis,54% (7/13),40% (2/5),0/2,0/0,67% (6/9),1/3,1/2,40% (2/5),33% (2/6)
2017 Cali CH R32,W vs Souza,71% (15/21),33% (3/9),2/3,1/2,75% (6/8),6/7,5/5,67% (10/15),33% (5/15)
2017 Szczecin CH R16,L vs Andreozzi,50% (3/6),38% (3/8),0/0,0/0,25% (2/8),2/4,2/3,- (0/0),- (0/0)
2017 Szczecin CH R32,W vs Cecchinato,85% (11/13),57% (4/7),2/3,1/2,73% (8/11),0/1,0/0,- (0/0),- (0/0)
2017 Sevilla CH SF,W vs Moutet,80% (8/10),50% (4/8),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2017 Sevilla CH QF,W vs Munar,71% (12/17),27% (4/15),2/3,1/2,60% (3/5),0/1,0/0,- (0/0),- (0/0)
2017 Tampere CH SF,L vs Sousa,71% (5/7),25% (1/4),0/0,0/0,50% (4/8),3/5,3/4,- (0/0),- (0/0)
2017 Caltanissetta CH R16,L vs Giannessi,50% (5/10),- (0/0),0/0,0/0,60% (6/10),0/2,0/1,- (0/0),- (0/0)
2017 Caltanissetta CH R32,W vs Berrettini,86% (12/14),67% (4/6),2/3,1/1,63% (5/8),3/4,1/1,- (0/0),- (0/0)
2017 Vicenza CH R32,L vs Mayer,100% (9/9),50% (1/2),0/0,0/0,60% (3/5),0/2,0/1,60% (3/5),17% (1/6)
2017 Barcelona Q1,L vs Brands,50% (8/16),33% (3/9),1/1,0/0,38% (3/8),2/4,1/2,- (0/0),- (0/0)
2017 Sao Paulo R32,L vs Olivo,67% (6/9),25% (4/16),0/1,0/0,38% (3/8),0/2,0/1,71% (5/7),14% (1/7)
2016 Montevideo CH QF,L vs Berlocq,73% (8/11),36% (5/14),1/2,0/0,45% (5/11),4/6,2/3,- (0/0),- (0/0)
2016 Bogota CH SF,L vs Bagnis,40% (6/15),25% (1/4),0/0,0/0,50% (4/8),0/2,0/1,60% (3/5),0% (0/5)
2016 Bogota CH R32,W vs Falla,73% (8/11),80% (4/5),2/3,1/1,80% (4/5),0/0,0/0,- (0/0),- (0/0)
2019 (2 matches),,61.1%,53.3%,50.0%,50.0%,40.0%,0.0%,0.0%,-,-
2018 (2 matches),,33.3%,33.3%,-,-,56.5%,33.3%,33.3%,-,-
2017 (13 matches),,70.0%,36.0%,63.2%,62.5%,55.6%,45.9%,61.9%,62.2%,32.5%
2016 (42 matches),,63.7%,37.6%,47.9%,45.7%,56.4%,49.2%,39.5%,63.1%,31.2%
2015 (27 matches),,61.6%,46.2%,54.9%,53.1%,59.3%,42.6%,41.2%,66.7%,41.5%
Career (115 matches),,62.6%,42.9%,52.9%,53.4%,57.4%,44.4%,42.9%,61.0%,32.3%
