Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2016,2,1,1,50.0%,4-3,57.1%,36-34,51.4%,2-0,100.0%,2,61.8%,35.3%,1.6%,4.9%,75.4%,59.8%,41.7%,55.3%,46.6%,50.8%,1.04,
2015,1,0,1,0.0%,0-1,0.0%,1-6,14.3%,0-0,-,1,16.7%,16.7%,7.1%,0.0%,57.1%,31.3%,16.7%,25.0%,34.2%,30.3%,0.46,R32 (Munich)
2014,3,0,3,0.0%,0-6,0.0%,20-37,35.1%,0-1,0.0%,3,64.3%,7.1%,4.7%,5.8%,66.3%,68.3%,34.4%,56.8%,27.6%,43.1%,0.64,R32 (2x)
2010,1,0,1,0.0%,0-2,0.0%,7-12,36.8%,0-0,-,1,77.8%,0.0%,4.7%,0.0%,76.6%,69.4%,33.3%,60.9%,18.4%,42.5%,0.47,R32 (Gstaad)
2009,4,1,3,25.0%,6-9,40.0%,71-78,47.7%,0-2,0.0%,1,86.7%,6.7%,3.8%,0.0%,82.7%,67.4%,44.4%,63.5%,23.5%,45.9%,0.64,
2008,3,0,3,0.0%,2-7,22.2%,31-50,38.3%,0-0,-,0,,,,,,,,,,,,
2007,3,1,2,33.3%,5-5,50.0%,41-46,47.1%,0-0,-,1,54.5%,33.3%,6.8%,6.8%,58.1%,65.1%,38.7%,54.1%,41.1%,47.6%,0.89,
2006,2,1,1,50.0%,3-3,50.0%,28-23,54.9%,0-0,-,0,,,,,,,,,,,,
2005,4,1,3,25.0%,4-10,28.6%,54-80,40.3%,1-1,50.0%,0,,,,,,,,,,,,
Career,23,5,18,21.7%,24-46,34.3%,289-366,44.1%,3-4,42.9%,9,64.1%,19.0%,3.8%,4.0%,71.6%,63.7%,37.0%,56.1%,35.7%,46.1%,0.81,
