Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2014 Port St Lucie FL 25K R32,W vs Lykina,71% (5/7),100% (7/7),2/2,1/1,33% (2/6),0/0,0/0,- (0/0),- (0/0)
2013 New Braunfels TX 50K R32,W vs Eikeri,47% (7/15),36% (5/14),2/2,1/1,60% (3/5),0/0,0/0,- (0/0),- (0/0)
2013 Florence SC 25K QF,L vs Tatishvili,50% (1/2),50% (1/2),0/0,0/0,50% (6/12),0/2,0/1,- (0/0),- (0/0)
2013 Quebec City Q2,L vs Hsu,85% (11/13),29% (4/14),1/1,0/0,0% (0/5),0/2,0/1,0% (0/4),40% (2/5)
2013 Quebec City Q1,W vs Blajkevitch,64% (7/11),63% (5/8),2/2,1/1,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2013 Birmingham Q2,L vs Sanchez,50% (4/8),- (0/0),0/0,0/0,33% (2/6),0/2,0/1,- (0/0),- (0/0)
2013 Birmingham Q1,W vs Ren,62% (8/13),40% (4/10),2/5,1/3,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2013 Cagnes Sur Mer 100K R16,L vs Garcia,56% (5/9),71% (5/7),1/3,0/0,25% (2/8),0/2,0/1,- (0/0),- (0/0)
2013 Cagnes Sur Mer 100K R32,W vs Martic,73% (11/15),33% (6/18),2/3,1/2,67% (6/9),0/1,0/0,- (0/0),- (0/0)
2013 Oeiras Q3,L vs Peer,54% (7/13),38% (3/8),0/0,0/0,56% (5/9),4/6,0/1,0% (0/4),25% (1/4)
2013 Oeiras Q2,W vs Tsurenko,47% (9/19),48% (10/21),2/3,1/1,56% (9/16),0/1,0/0,50% (3/6),33% (2/6)
2013 Oeiras Q1,W vs Kudryavtseva,80% (8/10),54% (7/13),2/5,1/3,59% (10/17),0/1,0/0,57% (4/7),57% (4/7)
2013 Stuttgart Q3,L vs Pfizenmaier,75% (9/12),86% (6/7),1/1,0/0,53% (8/15),3/5,1/2,33% (2/6),50% (3/6)
2013 Stuttgart Q2,W vs Birnerova,39% (7/18),75% (6/8),2/2,1/1,33% (2/6),0/0,0/0,- (0/0),- (0/0)
2013 Stuttgart Q1,W vs Erakovic,67% (10/15),57% (4/7),2/4,1/2,40% (2/5),0/1,0/0,- (0/0),- (0/0)
2013 Acapulco R32,L vs Cornet,40% (6/15),31% (4/13),1/1,0/0,60% (9/15),2/4,2/3,- (0/0),- (0/0)
2013 Acapulco Q3,W vs Fichman,75% (6/8),86% (6/7),2/3,1/2,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2013 Acapulco Q1,W vs Thorpe,75% (6/8),50% (6/12),2/2,1/1,100% (6/6),0/0,0/0,- (0/0),- (0/0)
2013 Bogota R32,L vs Dominguez Lino,46% (6/13),75% (3/4),1/1,0/0,70% (14/20),3/5,0/1,- (0/0),- (0/0)
2013 Cali F,L vs Arruabarrena,50% (2/4),50% (3/6),0/0,0/0,33% (3/9),0/2,0/1,- (0/0),- (0/0)
2014 (1 matches),,71.4%,100.0%,100.0%,100.0%,33.3%,-,-,-,-
2013 (26 matches),,57.0%,51.0%,62.7%,57.1%,56.5%,44.9%,33.3%,38.2%,45.7%
2012 (6 matches),,53.9%,44.3%,69.2%,42.9%,50.8%,63.6%,78.6%,88.9%,75.0%
Career (33 matches),,56.6%,50.8%,64.9%,55.6%,54.9%,50.7%,55.2%,48.8%,51.2%
