Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,131,85,46,64.9%,181-110,62.2%,1441-1156,55.5%,10-16,38.5%,0,,,,,,,,,,,
Clay,218,140,78,64.2%,282-171,62.3%,2204-1772,55.4%,19-13,59.4%,0,,,,,,,,,,,
Grass,141,94,47,66.7%,184-105,63.7%,1419-1093,56.5%,13-11,54.2%,0,,,,,,,,,,,
Carpet,150,82,68,54.7%,178-135,56.9%,1474-1314,52.9%,14-17,45.2%,0,,,,,,,,,,,
Grand Slams,134,88,46,65.7%,185-110,62.7%,1451-1125,56.3%,11-7,61.1%,0,,,,,,,,,,,
Premiers,1,0,1,0.0%,0-2,0.0%,8-13,38.1%,0-0,-,0,,,,,,,,,,,
Finals,22,12,10,54.5%,24-24,50.0%,216-215,50.1%,6-1,85.7%,0,,,,,,,,,,,
Semi-finals,50,22,28,44.0%,51-58,46.8%,477-508,48.4%,1-5,16.7%,0,,,,,,,,,,,
Quarter-finals,85,46,39,54.1%,95-80,54.3%,799-749,51.6%,4-9,30.8%,0,,,,,,,,,,,
vs Righties,328,187,141,57.0%,390-301,56.4%,3232-2898,52.7%,32-36,47.1%,0,,,,,,,,,,,
vs Lefties,42,15,27,35.7%,29-54,34.9%,301-404,42.7%,4-6,40.0%,0,,,,,,,,,,,
vs Top 10,80,13,67,16.3%,37-128,22.4%,556-894,38.3%,3-14,17.6%,0,,,,,,,,,,,
