Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1992,78,14,76,1767,90,1672,76,1705,37,1708,,,,
1991,85,14,64,1789,99,1660,55,1726,23,1735,,,,
1990,46,22,25,1865,42,1743,34,1785,16,1794,,,,
1989,37,29,28,1873,31,1772,38,1762,15,1816,,,,
1988,12,57,12,1995,13,1882,11,1909,10,1926,,,,
1987,10,65,9,2070,9,1976,8,1999,9,1960,,,,
1986,7,77,8,2081,10,1959,8,2003,6,1961,,,,
1985,5,,6,2134,5,2015,6,2021,6,1982,,,,
1984,8,,9,2012,11,1859,5,1970,10,1875,,,,
1983,,,21,1913,18,1770,22,1835,15,1817,,,,
1982,,,13,1950,12,1808,16,1825,13,1796,,,,
1981,,,23,1849,45,1615,14,1837,30,1673,,,,
1980,,,32,1788,,,23,1737,25,1675,,,,
