Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2023,23,10,13,43.5%,22-29,43.1%,213-256,45.4%,3-2,60.0%,0,,,,,,,,,,,,SF (W60 Rome GA)
2022,38,18,20,47.4%,45-44,50.6%,409-406,50.2%,3-4,42.9%,1,44.4%,22.2%,1.4%,8.5%,63.4%,64.4%,23.1%,49.3%,41.0%,45.5%,0.81,SF (W60 Saguenay)
2021,14,4,10,28.6%,11-24,31.4%,137-186,42.4%,2-2,50.0%,5,57.8%,40.0%,2.0%,4.4%,69.2%,54.4%,44.4%,51.3%,44.9%,48.0%,0.92,QF (2x)
2020,11,4,7,36.4%,10-14,41.7%,98-112,46.7%,0-1,0.0%,2,48.1%,40.0%,0.0%,6.2%,70.1%,54.8%,39.6%,50.3%,44.6%,47.5%,0.90,QF (W80 Macon GA)
2019,33,20,13,60.6%,42-34,55.3%,364-354,50.7%,7-5,58.3%,8,63.9%,27.6%,1.1%,3.1%,65.7%,57.9%,52.7%,56.1%,40.2%,47.9%,0.92,W (W60 Toronto)
2018,31,18,13,58.1%,36-34,51.4%,326-326,50.0%,6-3,66.7%,1,30.0%,44.4%,0.0%,9.0%,47.8%,50.0%,40.0%,44.8%,47.6%,46.3%,0.86,W (Wesley Chapel FL $25K)
2017,35,21,14,60.0%,43-33,56.6%,373-336,52.6%,3-2,60.0%,0,,,,,,,,,,,,F (2x)
2016,28,18,10,64.3%,38-21,64.4%,297-234,55.9%,3-2,60.0%,0,,,,,,,,,,,,W (Winnipeg $25K)
2015,9,7,2,77.8%,15-5,75.0%,117-66,63.9%,1-3,25.0%,0,,,,,,,,,,,,W (Austin TX $10K)
Career,222,120,102,54.1%,262-238,52.4%,2334-2276,50.6%,28-24,53.8%,17,57.0%,33.8%,1.2%,4.6%,66.4%,56.3%,45.8%,52.8%,42.8%,47.7%,0.91,
