Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-05-27),1358,3,,,,,,,,,,,,
2023,487,105,298,1380,264,1380,320,1303,,,,,,
2022,294,209,289,1388,270,1369,277,1329,234,1306,,,,
2021,201,340,249,1421,241,1383,222,1384,205,1332,,,,
2020,143,529,152,1511,153,1469,139,1475,,,384,191,,
2019,122,524,136,1638,129,1601,133,1569,145,1474,370,179,,
2018,165,355,167,1567,167,1525,158,1498,171,1425,331,185,,
2017,303,158,,,,,,,,,352,161,,
2016,331,124,,,,,,,,,605,59,,
2015,878,14,,,,,,,,,,,,
