Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2022,2,1,1,50.0%,2-2,50.0%,17-20,45.9%,1-0,100.0%,0,,,,,,,,,,,,R16 (W15 Los Angeles CA)
2021,1,0,1,0.0%,0-2,0.0%,7-12,36.8%,0-0,-,0,,,,,,,,,,,,R32 (W15 Curitiba)
2020,11,7,4,63.6%,14-12,53.8%,121-104,53.8%,0-2,0.0%,0,,,,,,,,,,,,QF (3x)
2019,32,16,16,50.0%,35-34,50.7%,306-282,52.0%,0-3,0.0%,0,,,,,,,,,,,,F (W15 Buenos Aires)
2018,22,12,10,54.5%,25-25,50.0%,245-244,50.1%,5-4,55.6%,0,,,,,,,,,,,,SF (3x)
2017,42,20,22,47.6%,49-47,51.0%,426-400,51.6%,1-1,50.0%,0,,,,,,,,,,,,F (Catanduva $15K)
2016,14,5,9,35.7%,13-19,40.6%,141-153,48.0%,2-1,66.7%,0,,,,,,,,,,,,QF (Bauru $10K)
2015,31,19,12,61.3%,41-28,59.4%,341-280,54.9%,3-4,42.9%,0,,,,,,,,,,,,W (San Carlos $10K)
2014,46,28,18,60.9%,62-41,60.2%,484-393,55.2%,1-3,25.0%,0,,,,,,,,,,,,F (2x)
2013,63,36,27,57.1%,77-61,55.8%,647-570,53.2%,3-6,33.3%,0,,,,,,,,,,,,SF (4x)
2012,38,20,18,52.6%,41-43,48.8%,387-393,49.6%,4-8,33.3%,0,,,,,,,,,,,,W (Asuncion 10K)
2011,44,24,20,54.5%,53-45,54.1%,448-426,51.3%,3-3,50.0%,0,,,,,,,,,,,,SF (2x)
2010,30,12,18,40.0%,27-42,39.1%,277-341,44.8%,2-1,66.7%,0,,,,,,,,,,,,SF (Brasilia 10K)
2009,3,1,2,33.3%,3-4,42.9%,28-32,46.7%,0-0,-,0,,,,,,,,,,,,R16 (Bauru 10K)
2008,4,1,3,25.0%,2-6,25.0%,29-42,40.8%,0-1,0.0%,0,,,,,,,,,,,,R16 (Serra Negra 10K)
Career,383,202,181,52.7%,444-411,51.9%,3904-3692,51.4%,25-37,40.3%,0,,,,,,,,,,,,
