Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2017 Zhengzhou R32,W vs Hibi,89.5%,54.9%,0.0%,0/0,2.67,23.5%,92.3%,50.0%,0.0%,2.65,32.1%,83.3%,66.7%,0.0%,2.70,13.0%
Career (1 matches),,89.5%,54.9%,0.0%,0.0%,2.67,23.5%,92.3%,50.0%,0.0%,2.65,32.1%,83.3%,66.7%,0.0%,2.70,13.0%
